id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
604637,AD-0003,medium_airport,baccaratshh,35.0,35.0,,EU,AD,AD-02,,no,,,,,https://baccarat.sh/,,
111,BG-JAM,medium_airport,Bezmer Air Base,42.454899,26.3522,509.0,EU,BG,BG-28,Bezmer,no,,JAM,LBIA,,,https://en.wikipedia.org/wiki/Bezmer_Airbase,LB44
117,BIAR,large_airport,Akureyri International Airport,65.656573,-18.072018,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,,https://www.innanlandsflugvellir.is/en/akureyri-airport/,https://en.wikipedia.org/wiki/Akureyri_Airport,
119,BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76.0,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,BIEG,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,
31549,BIGR,medium_airport,Grímsey Airport,66.5458,-18.0173,66.0,EU,IS,IS-6,Grímsey/Sandvík,yes,BIGR,GRY,BIGR,,https://www.innanlandsflugvellir.is/en/grimsey-airport,https://en.wikipedia.org/wiki/Gr%C3%ADmsey_Airport,Sandvík
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,BIHN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48.0,EU,IS,IS-6,Húsavík,no,BIHU,HZK,BIHU,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,
122,BIIS,medium_airport,Ísafjörður Airport,66.058098,-23.1353,8.0,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,BIIS,,https://www.isavia.is/en/isafjordur-airport,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station, REK"
30741,BIRF,medium_airport,Rif Airport,64.9114,-23.823099,18.0,EU,IS,IS-3,Rif,no,BIRF,OLI,BIRF,,,https://en.wikipedia.org/wiki/Rif_Airport,
125,BIRK,medium_airport,Reykjavík Domestic Airport,64.128732,-21.93759,48.0,EU,IS,IS-1,Reykjavík,yes,BIRK,RKV,BIRK,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10.0,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,BISI,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326.0,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,BIVM,,,https://en.wikipedia.org/wiki/Vestmannaeyjar_Airport,
4614,BKPR,large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
