original_name,matched_name,icao_code,match_score_%
Airport,,,0.0
BRUSSELS airport,Brussels Airport,EBBR,100.0
CHARLEROI/BRUSSELS SOUTH airport,,,0.0
LIEGE airport,Liège Airport,EBLG,80.0
OOSTENDE/BRUGGE airport,,,0.0
BURGAS airport,Burgas Airport,LBBG,100.0
PLOVDIV airport,,,0.0
SOFIA airport,Sofia Airport,LBSF,100.0
VARNA airport,Varna Airport,LBWN,100.0
CESKE BUDEJOVICE airport,,,0.0
KARLOVY VARY airport,Karlovy Vary Airport,LKKV,100.0
OSTRAVA/MOSNOV airport,,,0.0
PARDUBICE airport,Pardubice Airport,LKPD,100.0
PRAHA/RUZYNE airport,,,0.0
BRNO/TURANY airport,Brno-Tuřany Airport,LKTB,81.8
AERO airport,Waterford Airport,EIWF,61.5
AARHUS airport,Aarhus Airport,EKAH,100.0
BILLUND airport,Billund Airport,EKBI,100.0
KOBENHAVN/KASTRUP airport,Copenhagen Kastrup Airport,EKCH,80.0
ESBJERG airport,Esbjerg Airport,EKEB,100.0
KARUP airport,Tartu Airport,EETU,60.0
ARHUS/KIRSTINESMINDE airport,,,0.0
ODENSE airport,Joensuu Airport,EFJO,61.5
KOBENHAVN/ROSKILDE airport,Copenhagen Roskilde Airport,EKRK,81.1
BORNHOLM/RONNE airport,Bornholm Airport,EKRN,72.7
SONDERBORG airport,Sønderborg Airport,EKSB,90.0
VOJENS/SKRYDSTRUP airport,,,0.0
THISTED airport,Thisted Airport,EKTS,100.0
VAGAR airport,Vágar Airport,EKVG,80.0
STAUNING airport,Turin Airport,LIMF,61.5
VAERSLOSE airport,,,0.0
AALBORG airport,Aalborg Airport,EKYT,100.0
Unknown airport - DENMARK,,,0.0
LEIPZIG-ALTENBURG airport,Leipzig–Altenburg Airport,EDAC,94.1
HERINGSDORF airport,Heringsdorf Airport,EDAH,100.0
MAGDEBURG/COCHSTEDT airport,,,0.0
BARTH airport,Bayreuth Airport,EDQD,76.9
MAGDEBURG/CITY airport,Cambridge City Airport,EGSC,57.1
RUEGEN airport,Bremen Airport,EDDW,66.7
BERLIN-BRANDENBURG airport,Berlin Brandenburg Airport,EDDB,94.4
DRESDEN airport,Dresden Airport,EDDC,100.0
ERFURT-WEIMAR airport,Erfurt-Weimar Airport,EDDE,100.0
FRANKFURT/MAIN airport,Frankfurt Main Airport,EDDF,100.0
MUENSTER/OSNABRUECK airport,Münster Osnabrück Airport,EDDG,83.3
HAMBURG airport,Sumburgh Airport,EGPB,66.7
BERLIN/TEMPELHOF airport,,,0.0
KOELN/BONN airport,Cologne Bonn Airport,EDDK,63.6
DUESSELDORF airport,Düsseldorf Airport,EDDL,85.7
MUENCHEN airport,Munich Airport,EDDM,71.4
NUERNBERG airport,Nuremberg Airport,EDDN,77.8
LEIPZIG/HALLE airport,Leipzig/Halle Airport,EDDP,100.0
SAARBRUECKEN airport,Saarbrücken Airport,EDDR,87.0
STUTTGART airport,Stuttgart Airport,EDDS,100.0
BERLIN-TEGEL airport,Berlevåg Airport,ENBV,60.0
HANNOVER airport,Hannover Airport,EDDV,100.0
BREMEN airport,Bremen Airport,EDDW,100.0
FRANKFURT-EGELSBACH airport,Frankfurt-Egelsbach Airport,EDFE,100.0
FRANKFURT-HAHN airport,Frankfurt-Hahn Airport,EDFH,100.0
MANNHEIM CITY airport,Mannheim-City Airport,EDFM,92.3
WORMS airport,,,0.0
SIEGERLAND airport,Siegerland Airport,EDGS,100.0
