Origin,BGSF,BIAR,BIEG,BIIS,BIKF,BIRK,BKPR,EBAW,EBBR,EBCI,EBLG,EBOS,EDDB,EDDC,EDDE,EDDF,EDDG,EDDH,EDDK,EDDL,EDDM,EDDN,EDDP,EDDR,EDDS,EDDT,EDDV,EDDW,EDFH,EDHI,EDJA,EDLP,EDLV,EDLW,EDNY,EDSB,EEKE,EETN,EFHK,EFIV,EFJO,EFKI,EFKS,EFKT,EFKU,EFOU,EFRO,EFTP,EFTU,EFVA,EG40,EGAA,EGAC,EGAE,EGBB,EGCC,EGCN,EGFF,EGGD,EGGP,EGGW,EGHE,EGHH,EGHI,EGHQ,EGJA,EGJB,EGJJ,EGKK,EGLC,EGLL,EGMC,EGNJ,EGNM,EGNS,EGNT,EGNV,EGNX,EGPA,EGPB,EGPD,EGPE,EGPF,EGPH,EGPK,EGPM,EGPO,EGSH,EGSS,EGTE,EHAM,EHBK,EHEH,EHGG,EHRD,EICK,EIDW,EIKN,EIKY,EINN,EKAH,EKBI,EKCH,EKKA,EKRN,EKVG,EKYT,ELLX,ENAL,ENAN,ENAT,ENBN,ENBO,ENBR,ENCN,ENDU,ENEV,ENFL,ENGM,ENHD,ENHF,ENHK,ENKB,ENKR,ENLK,ENML,ENMS,ENNA,ENNM,ENOV,ENRA,ENRM,ENSB,ENSH,ENSK,ENSR,ENST,ENTC,ENTO,ENVA,ENVD,ENZV,EPBY,EPGD,EPKK,EPKT,EPLB,EPLL,EPMO,EPPO,EPRZ,EPSC,EPSY,EPWA,EPWR,ESDF,ESGG,ESGT,ESKN,ESMK,ESMQ,ESMS,ESMT,ESMX,ESNN,ESNO,ESNQ,ESNS,ESNU,ESNZ,ESPA,ESSA,ESSB,ESSL,ESSV,ESTA,EVRA,EYKA,EYPA,EYVI,LATI,LBBG,LBSF,LBWN,LCEN,LCLK,LCPH,LDDU,LDPL,LDSP,LDZA,LDZD,LEAL,LEAM,LEAS,LEBB,LEBL,LECO,LEGE,LEGR,LEIB,LEJR,LEMD,LEMG,LEMH,LEMI,LEPA,LEPP,LERS,LESO,LEST,LEVC,LEVD,LEVX,LEXJ,LEZG,LEZL,LFBD,LFBE,LFBL,LFBO,LFBP,LFBT,LFBZ,LFKB,LFKC,LFKF,LFKJ,LFLC,LFLL,LFLS,LFMK,LFML,LFMN,LFMP,LFMT,LFMU,LFOB,LFPG,LFPO,LFQQ,LFRB,LFRD,LFRK,LFRN,LFRS,LFSB,LFST,LFTH,LFTW,LGAL,LGAV,LGHI,LGIO,LGIR,LGKF,LGKO,LGKR,LGMK,LGML,LGMT,LGNX,LGPA,LGPZ,LGRP,LGSA,LGSM,LGSR,LGTS,LGZA,LHBP,LHDC,LIBC,LIBD,LIBP,LIBR,LICA,LICB,LICC,LICD,LICG,LICJ,LICR,LICT,LIEA,LIEE,LIEO,LIMC,LIME,LIMF,LIMJ,LIML,LIMP,LIMZ,LIPE,LIPH,LIPQ,LIPX,LIPY,LIPZ,LIRA,LIRF,LIRN,LIRP,LIRQ,LIRZ,LJLJ,LKAA,LKMT,LKPR,LKTB,LMML,LOWG,LOWI,LOWK,LOWL,LOWS,LOWW,LPFL,LPFR,LPGR,LPHR,LPLA,LPMA,LPPD,LPPI,LPPO,LPPR,LPPS,LPPT,LPSJ,LQBK,LQSA,LQTZ,LRBC,LRCL,LRCV,LRIA,LROP,LRSB,LRSV,LRTM,LRTR,LSGG,LSZH,LSZR,LTAC,LTAF,LTAI,LTAJ,LTAN,LTAP,LTAR,LTAT,LTAU,LTAW,LTAY,LTAZ,LTBA,LTBB,LTBH,LTBJ,LTBR,LTBS,LTBY,LTCA,LTCB,LTCC,LTCD,LTCE,LTCF,LTCG,LTCI,LTCJ,LTCK,LTCM,LTCN,LTCO,LTCP,LTCR,LTCS,LTCT,LTCU,LTCV,LTCW,LTDA,LTDB,LTFD,LTFE,LTFG,LTFH,LTFJ,LTFK,LTFM,LTFO,LUKK,LWOH,LWSK,LXGB,LYBE,LYNI,LYPG,LYTV,LZIB,LZKZ
BIAR,0,0,0,0,0,158152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIKF,0,0,0,0,0,0,0,0,105109,0,0,0,0,0,0,256624,0,65122,0,0,152507,0,0,0,0,117726,0,0,0,0,0,0,0,0,0,0,0,0,228226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184728,0,0,0,0,257031,0,0,0,0,0,0,0,241538,0,353426,0,0,0,0,0,0,0,0,0,0,0,108006,52520,0,0,0,0,0,0,293655,0,0,0,0,0,146119,0,0,0,0,0,535041,0,0,0,0,0,0,0,0,0,0,58325,0,0,0,0,316544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53477,0,44944,0,0,0,0,0,0,0,85857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191977,0,0,0,0,51236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70392,0,0,0,70596,0,0,0,0,0,60599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40895,91331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIRK,0,158084,81443,32272,0,17156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51048,0,0,0,0,0,0,0,10887,0,0,45877,0,0,15632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBBR,0,0,0,0,105117,0,0,0,0,0,0,0,164493,0,0,578559,0,196919,0,0,439029,0,0,0,0,348494,0,0,0,0,0,0,0,0,0,0,0,0,231501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132236,247115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675607,0,0,0,0,0,0,0,0,0,0,0,0,146670,0,0,0,0,0,0,281568,0,0,0,0,0,438568,0,0,0,0,109108,478894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326537,0,0,203331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157407,208293,0,0,0,99173,0,0,0,0,0,0,0,0,0,0,0,0,0,119816,0,412625,0,0,154677,952169,0,0,0,0,0,1086037,528277,0,0,196365,0,0,0,0,229602,0,0,0,0,0,82952,0,0,188527,0,0,0,0,0,0,0,0,261219,0,0,152139,385835,0,0,0,0,196076,0,0,0,0,0,0,86699,109475,0,0,0,0,273471,0,0,159282,0,79854,0,0,0,0,0,0,0,81912,0,0,0,0,0,202082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430943,0,0,0,222103,0,0,0,0,0,0,0,229738,0,721051,77222,0,0,0,0,0,0,333833,0,104250,0,0,0,0,0,486177,0,101160,0,0,0,0,0,0,0,347994,0,772853,0,0,0,0,0,0,0,0,178637,0,0,0,0,615005,324112,0,0,0,362258,0,0,0,0,0,0,0,0,0,93726,0,0,87884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83406,0,0,0,0,0,0,0,0,0,0,0,0,64894,0,0,0,0,0,118806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108139,0,0,0,174446,0,0,0,0,135967,46383,0,0,0,50977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51580,0,0,0,0,0,169917,0,0,0,0,0,0,0,0,0,198307,0,0,0,122079,0,78332,0,41749,0,105688,145145,0,0,65714,0,0,0,0,65656,0,0,70920,0,125189,83659,0,0,116745,0,0,0,0,0,0,0,0,0,0,102675,156454,0,46290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93900,0,119941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90995,0,340078,0,0,75423,65007,47321,0,0,0,0,0,73706,0,0,0,48763,0,0,241195,50740,0,0,0,0,133601,174785,0,0,44855,0,182248,0,97898,156092,0,0,0,0,0,155214,0,122286,0,0,0,0,0,0,0,91190,0,0,0,0,0,0,0,122200,0,134077,0,0,0,0,0,75401,0,0,271011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214488,0,0,0,0,0,55359,0,0,0,0,0,61980,0
EBLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24511,0,0,0,0,0,0,0,0,0,0,19972,0,0,12985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81245,0,0,0,0,0,0,0,0,0,0,75437,0,0,25530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDB,0,0,0,0,0,0,0,0,163609,0,0,0,0,0,0,0,0,0,117798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183116,0,0,98506,0,182515,0,0,0,0,0,0,0,201492,0,0,0,0,0,0,0,0,0,0,0,0,0,84300,102124,0,0,0,0,452401,0,317384,0,0,0,0,0,194117,0,0,0,0,0,279749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164623,0,0,0,0,123956,0,0,0,0,0,111040,0,0,0,0,0,0,0,0,0,0,0,0,0,483143,0,0,0,0,0,191430,189164,0,0,276963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107042,0,0,0,0,114499,0,0,0,0,0,0,0,161725,0,0,0,0,180921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194040,0,283273,0,0,0,0,0,0,0,80397,0,0,0,0,0,0,0,0,169351,240024,0,0,0,0,0,126154,115821,0,0,0,0,246223,0,106351,94344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186961,0,0,0,0,0,0,0,0,169742,0,0,0,0,189837,0,0,0,0,255868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242346,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331928,0,0,131007,169791,209838,0,0,0,89542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53646,0,0,0,0,0,0,0,30801,0,0,0,0,0,0,0,0,0,26557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102927,0,0,0,96387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
