STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_AT_LOWW,GRAZ airport - WIEN-SCHWECHAT airport,2019,,2498,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_CH_LSZH,GRAZ airport - ZURICH airport,2019,,596,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_DE_EDDF,GRAZ airport - FRANKFURT/MAIN airport,2019,,2740,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_DE_EDDL,GRAZ airport - DUESSELDORF airport,2019,,1191,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_DE_EDDM,GRAZ airport - MUENCHEN airport,2019,,3304,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_DE_EDDS,GRAZ airport - STUTTGART airport,2019,,923,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_DE_EDDT,GRAZ airport - BERLIN-TEGEL airport,2019,,317,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_EG_HEGN,GRAZ airport - HURGHADA / INTL airport,2019,,200,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_ES_LEPA,GRAZ airport - PALMA DE MALLORCA airport,2019,,179,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_NL_EHAM,GRAZ airport - AMSTERDAM/SCHIPHOL airport,2019,,652,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_TR_LTAI,GRAZ airport - ANTALYA (MIL-CIV) airport,2019,,151,,,,,
dataflow,ESTAT:AVIA_PAR_AT(1.0),Air passenger transport routes between partner airports and main airports in Austria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,AT_LOWG_TR_LTFM,GRAZ airport - ISTANBUL/ISTANBUL HAVALIMANI airport,2019,,287,,,,,
