STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_AE_OMAA,SARAJEVO airport - ABU DHABI INTERNATIONAL airport,2023,,480,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_AE_OMDB,SARAJEVO airport - DUBAI INTERNATIONAL airport,2023,,667,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_AT_LOWW,SARAJEVO airport - WIEN-SCHWECHAT airport,2023,,1333,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_CH_LSZH,SARAJEVO airport - ZURICH airport,2023,,353,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_DE_EDDF,SARAJEVO airport - FRANKFURT/MAIN airport,2023,,769,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_DE_EDDK,SARAJEVO airport - KOELN/BONN airport,2023,,238,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_DE_EDDS,SARAJEVO AIRPORT - STUTTGART AIRPORT,2023,,155,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_HR_LDZA,SARAJEVO airport - ZAGREB/FRANJO TUDJMAN airport,2023,,1321,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_KW_OKKK,SARAJEVO airport - KUWAIT/INTL airport,2023,,307,,,,,
dataflow,ESTAT:AVIA_PAR_BA(1.0),Air passenger transport routes between partner airports and main airports in Bosnia and Herzegovina,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BA_LQSA_RS_LYBE,SARAJEVO airport - BEOGRAD/NIKOLA TESLA airport,2023,,702,,,,,
