STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_ES_LEAL,ANTWERPEN/DEURNE airport - ALICANTE airport,2019,,503,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_ES_LEIB,ANTWERPEN/DEURNE airport - IBIZA airport,2019,,154,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_ES_LEMG,ANTWERPEN/DEURNE airport - MALAGA/COSTA DEL SOL airport,2019,,459,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_ES_LEPA,ANTWERPEN/DEURNE airport - PALMA DE MALLORCA airport,2019,,184,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_IT_LIRQ,ANTWERPEN/DEURNE airport - FIRENZE/PERETOLA airport,2019,,120,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_MA_GMMW,ANTWERPEN/DEURNE airport - NADOR/EL AROUI airport,2019,,298,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_MA_GMTT,ANTWERPEN/DEURNE airport - TANGER/IBN BATOUTA airport,2019,,197,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_PL_EPLB,ANTWERPEN/DEURNE airport - LUBLIN airport,2019,,158,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_UK_EGLC,ANTWERPEN/DEURNE airport - LONDON/CITY airport,2019,,515,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBAW_ZZ_ZZZZ,ANTWERPEN/DEURNE airport - Unknown airport,2019,,358,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBBR_AE_OMAA,BRUSSELS airport - ABU DHABI INTERNATIONAL airport,2019,,728,,,,,
dataflow,ESTAT:AVIA_PAR_BE(1.0),Air passenger transport routes between partner airports and main airports in Belgium,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BE_EBBR_AE_OMDB,BRUSSELS airport - DUBAI INTERNATIONAL airport,2019,,1357,,,,,
