STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_BE_EBBR,BURGAS airport - BRUSSELS airport,2019,,301,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_BG_LBSF,BURGAS airport - SOFIA airport,2019,,297,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_BY_UMMS,BURGAS airport - MINSK-2 airport,2019,,325,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_CZ_LKMT,BURGAS airport - OSTRAVA/MOSNOV airport,2019,,260,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_CZ_LKPR,BURGAS airport - PRAHA/RUZYNE airport,2019,,1012,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_CZ_LKTB,BURGAS airport - BRNO/TURANY airport,2019,,343,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDF,BURGAS airport - FRANKFURT/MAIN airport,2019,,229,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDK,BURGAS airport - KOELN/BONN airport,2019,,148,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDL,BURGAS airport - DUESSELDORF airport,2019,,276,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDP,BURGAS airport - LEIPZIG/HALLE airport,2019,,284,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDS,BURGAS airport - STUTTGART airport,2019,,182,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DE_EDDV,BURGAS airport - HANNOVER airport,2019,,198,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_DK_EKCH,BURGAS airport - KOBENHAVN/KASTRUP airport,2019,,228,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_EE_EETN,BURGAS airport - LENNART MERI TALLINN airport,2019,,122,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_FI_EFHK,BURGAS airport - HELSINKI/VANTAA airport,2019,,264,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_HU_LHBP,BURGAS airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,2019,,180,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_IE_EIDW,BURGAS airport - DUBLIN airport,2019,,330,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_IL_LLBG,BURGAS airport - TEL-AVIV/BEN GURION airport,2019,,913,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_LV_EVRA,BURGAS airport - RIGA airport,2019,,149,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_NL_EHAM,BURGAS airport - AMSTERDAM/SCHIPHOL airport,2019,,182,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_NO_ENGM,BURGAS airport - OSLO/GARDERMOEN airport,2019,,241,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPGD,BURGAS airport - GDANSK IM LECHA WALESY airport,2019,,159,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPKK,BURGAS airport - KRAKOW/BALICE airport,2019,,150,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPKT,BURGAS airport - KATOWICE/PYRZOWICE airport,2019,,729,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPPO,BURGAS airport - POZNAN/LAWICA airport,2019,,268,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPWA,BURGAS airport - WARSZAWA/CHOPINA airport,2019,,559,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_PL_EPWR,BURGAS airport - WROCLAW/STRACHOWICE airport,2019,,213,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_RU_ULLI,BURGAS airport - SANKT-PETERBURG/PULKOVO airport,2019,,547,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_RU_UUDD,BURGAS airport - MOSCOW/DOMODEDOVO airport,2019,,1309,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_RU_UUEE,BURGAS airport - MOSCOW/SHEREMETYEVO airport,2019,,804,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_RU_UUWW,BURGAS airport - MOSCOW/VNUKOVO airport,2019,,362,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_SE_ESSA,BURGAS airport - STOCKHOLM/ARLANDA airport,2019,,137,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_SK_LZIB,BURGAS airport - BRATISLAVA/M.R.STEFANIK airport,2019,,305,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_SK_LZKZ,BURGAS airport - KOSICE airport,2019,,189,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_UA_UKBB,BURGAS airport - KYIV/BORYSPIL airport,2019,,188,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_UK_EGAA,BURGAS airport - BELFAST/ALDERGROVE airport,2019,,138,,,,,
dataflow,ESTAT:AVIA_PAR_BG(1.0),Air passenger transport routes between partner airports and main airports in Bulgaria,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,BG_LBBG_UK_EGBB,BURGAS airport - BIRMINGHAM airport,2019,,312,,,,,
