STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_AE_OMDB,LARNAKA/INTL airport - DUBAI INTERNATIONAL airport,2019,,708,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_AT_LOWW,LARNAKA/INTL airport - WIEN-SCHWECHAT airport,2019,,1847,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_BG_LBSF,LARNAKA/INTL airport - SOFIA airport,2019,,665,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_BH_OBBI,LARNAKA/INTL airport - BAHRAIN INTERNATIONAL airport,2019,,687,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_BY_UMMS,LARNAKA/INTL airport - MINSK-2 airport,2019,,356,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_CH_LSZH,LARNAKA/INTL airport - ZURICH airport,2019,,957,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_CZ_LKPR,LARNAKA/INTL airport - PRAHA/RUZYNE airport,2019,,398,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_DE_EDDF,LARNAKA/INTL airport - FRANKFURT/MAIN airport,2019,,675,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_DE_EDDM,LARNAKA/INTL airport - MUENCHEN airport,2019,,729,,,,,
dataflow,ESTAT:AVIA_PAR_CY(1.0),Air passenger transport routes between partner airports and main airports in Cyprus,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,CY_LCLK_DK_EKCH,LARNAKA/INTL airport - KOBENHAVN/KASTRUP airport,2019,,372,,,,,
