STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_BE_EBBR,BERLIN-BRANDENBURG airport - BRUSSELS airport,2019,,1033,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_BG_LBSF,BERLIN-BRANDENBURG airport - SOFIA airport,2019,,679,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_CH_LFSB,BERLIN-BRANDENBURG airport - BALE-MULHOUSE airport,2019,,1212,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_CH_LSGG,BERLIN-BRANDENBURG airport - GENEVA airport,2019,,1408,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_DE_EDDK,BERLIN-BRANDENBURG airport - KOELN/BONN airport,2019,,864,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_DK_EKCH,BERLIN-BRANDENBURG airport - KOBENHAVN/KASTRUP airport,2019,,2215,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_EL_LGAV,BERLIN-BRANDENBURG airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,1134,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_EL_LGTS,BERLIN-BRANDENBURG airport - THESSALONIKI/MAKEDONIA airport,2019,,1233,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_ES_GCTS,BERLIN-BRANDENBURG airport - TENERIFE SUR/REINA SOFIA airport,2019,,537,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_ES_LEBL,BERLIN-BRANDENBURG airport - BARCELONA/EL PRAT airport,2019,,2928,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_ES_LEMD,BERLIN-BRANDENBURG airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2019,,1133,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_ES_LEMG,BERLIN-BRANDENBURG airport - MALAGA/COSTA DEL SOL airport,2019,,1179,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_ES_LEPA,BERLIN-BRANDENBURG airport - PALMA DE MALLORCA airport,2019,,1902,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_FR_LFMN,BERLIN-BRANDENBURG airport - NICE-COTE D'AZUR airport,2019,,908,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_FR_LFPG,BERLIN-BRANDENBURG airport - PARIS-CHARLES DE GAULLE airport,2019,,791,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_HU_LHBP,BERLIN-BRANDENBURG airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,2019,,1619,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IE_EIDW,BERLIN-BRANDENBURG airport - DUBLIN airport,2019,,1117,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IL_LLBG,BERLIN-BRANDENBURG airport - TEL-AVIV/BEN GURION airport,2019,,1741,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LICC,BERLIN-BRANDENBURG airport - CATANIA/FONTANAROSSA airport,2019,,476,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIMC,BERLIN-BRANDENBURG airport - MILANO/MALPENSA airport,2019,,1203,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIME,BERLIN-BRANDENBURG airport - BERGAMO/ORIO AL SERIO airport,2019,,1441,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIPE,BERLIN-BRANDENBURG airport - BOLOGNA/BORGO PANIGALE airport,2019,,750,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIPH,BERLIN-BRANDENBURG airport - TREVISO/S.ANGELO airport,2019,,716,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIRA,BERLIN-BRANDENBURG airport - ROMA/CIAMPINO airport,2019,,1443,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIRN,BERLIN-BRANDENBURG airport - NAPOLI/CAPODICHINO airport,2019,,736,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_IT_LIRP,BERLIN-BRANDENBURG airport - PISA/S. GIUSTO airport,2019,,605,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_LV_EVRA,BERLIN-BRANDENBURG airport - RIGA airport,2019,,742,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_NL_EHAM,BERLIN-BRANDENBURG airport - AMSTERDAM/SCHIPHOL airport,2019,,2142,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_NO_ENGM,BERLIN-BRANDENBURG airport - OSLO/GARDERMOEN airport,2019,,2115,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_PT_LPPT,BERLIN-BRANDENBURG airport - LISBOA airport,2019,,1081,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_RO_LROP,BERLIN-BRANDENBURG airport - BUCURESTI/HENRI COANDA airport,2019,,988,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_RU_ULLI,BERLIN-BRANDENBURG airport - SANKT-PETERBURG/PULKOVO airport,2019,,1499,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_RU_UUEE,BERLIN-BRANDENBURG airport - MOSCOW/SHEREMETYEVO airport,2019,,3678,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_SE_ESSA,BERLIN-BRANDENBURG airport - STOCKHOLM/ARLANDA airport,2019,,1319,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_TR_LTAI,BERLIN-BRANDENBURG airport - ANTALYA (MIL-CIV) airport,2019,,1530,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_TR_LTFJ,BERLIN-BRANDENBURG airport - ISTANBUL/SABIHA GOKCEN airport,2019,,1541,,,,,
dataflow,ESTAT:AVIA_PAR_DE(1.0),Air passenger transport routes between partner airports and main airports in Germany,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DE_EDDB_UA_UKBB,BERLIN-BRANDENBURG airport - KYIV/BORYSPIL airport,2019,,455,,,,,
