STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKAH_DK_EKCH,AARHUS airport - KOBENHAVN/KASTRUP airport,2019,,3561,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKAH_NO_ENGM,AARHUS airport - OSLO/GARDERMOEN airport,2019,,932,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKAH_PL_EPGD,AARHUS airport - GDANSK IM LECHA WALESY airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKAH_SE_ESSA,AARHUS airport - STOCKHOLM/ARLANDA airport,2019,,473,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKAH_UK_EGSS,AARHUS airport - LONDON STANSTED airport,2019,,645,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_AT_LOWW,BILLUND airport - WIEN-SCHWECHAT airport,2019,,222,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_BA_LQTZ,BILLUND airport - TUZLA airport,2019,,154,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_BE_EBBR,BILLUND airport - BRUSSELS airport,2019,,1529,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_CZ_LKPR,BILLUND airport - PRAHA/RUZYNE airport,2019,,239,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_DE_EDDB,BILLUND airport - BERLIN-BRANDENBURG airport,2019,,338,,,,,
dataflow,ESTAT:AVIA_PAR_DK(1.0),Air passenger transport routes between partner airports and main airports in Denmark,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,DK_EKBI_DE_EDDF,BILLUND airport - FRANKFURT/MAIN airport,2019,,3147,,,,,
