STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_AT_LOWW,LENNART MERI TALLINN airport - WIEN-SCHWECHAT airport,2019,,622,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_BE_EBBR,LENNART MERI TALLINN airport - BRUSSELS airport,2019,,1051,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_BG_LBBG,LENNART MERI TALLINN airport - BURGAS airport,2019,,123,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_BG_LBWN,LENNART MERI TALLINN airport - VARNA airport,2019,,123,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_CY_LCPH,LENNART MERI TALLINN airport - PAFOS/INTL airport,2019,,218,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_DE_EDDB,LENNART MERI TALLINN airport - BERLIN-BRANDENBURG airport,2019,,402,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_DE_EDDF,LENNART MERI TALLINN airport - FRANKFURT/MAIN airport,2019,,1969,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_DE_EDDT,LENNART MERI TALLINN airport - BERLIN-TEGEL airport,2019,,412,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_DE_EDLV,LENNART MERI TALLINN airport - NIEDERRHEIN airport,2019,,210,,,,,
dataflow,ESTAT:AVIA_PAR_EE(1.0),Air passenger transport routes between partner airports and main airports in Estonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EE_EETN_DK_EKCH,LENNART MERI TALLINN airport - KOBENHAVN/KASTRUP airport,2019,,1877,,,,,
