STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAL_EL_LGAV,ALEXANDROUPOLIS/DIMOKRITOS airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,2756,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_AE_OMAA,ATHINAI/ELEFTHERIOS VENIZELOS airport - ABU DHABI INTERNATIONAL airport,2019,,890,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_AE_OMDB,ATHINAI/ELEFTHERIOS VENIZELOS airport - DUBAI INTERNATIONAL airport,2019,,1056,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_AL_LATI,ATHINAI/ELEFTHERIOS VENIZELOS airport - TIRANA airport,2019,,874,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_AT_LOWW,ATHINAI/ELEFTHERIOS VENIZELOS airport - WIEN-SCHWECHAT airport,2019,,2224,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_BE_EBBR,ATHINAI/ELEFTHERIOS VENIZELOS airport - BRUSSELS airport,2019,,1975,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_BE_EBCI,ATHINAI/ELEFTHERIOS VENIZELOS airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,701,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_BG_LBSF,ATHINAI/ELEFTHERIOS VENIZELOS airport - SOFIA airport,2019,,1796,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_CA_CYUL,"ATHINAI/ELEFTHERIOS VENIZELOS airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport",2019,,542,,,,,
dataflow,ESTAT:AVIA_PAR_EL(1.0),Air passenger transport routes between partner airports and main airports in Greece,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,EL_LGAV_CA_CYYZ,"ATHINAI/ELEFTHERIOS VENIZELOS airport - TORONTO/LESTER B. PEARSON INTL, ON airport",2019,,608,,,,,
