STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_CH_LSZH,FUERTEVENTURA airport - ZURICH airport,2019,,347,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDB,FUERTEVENTURA airport - BERLIN-BRANDENBURG airport,2019,,244,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDF,FUERTEVENTURA airport - FRANKFURT/MAIN airport,2019,,901,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDH,FUERTEVENTURA airport - HAMBURG airport,2019,,635,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDK,FUERTEVENTURA airport - KOELN/BONN airport,2019,,391,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDL,FUERTEVENTURA airport - DUESSELDORF airport,2019,,1363,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDM,FUERTEVENTURA airport - MUENCHEN airport,2019,,746,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDP,FUERTEVENTURA airport - LEIPZIG/HALLE airport,2019,,332,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDS,FUERTEVENTURA airport - STUTTGART airport,2019,,613,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDT,FUERTEVENTURA airport - BERLIN-TEGEL airport,2019,,387,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DE_EDDV,FUERTEVENTURA airport - HANNOVER airport,2019,,724,,,,,
dataflow,ESTAT:AVIA_PAR_ES(1.0),Air passenger transport routes between partner airports and main airports in Spain,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ES_GCFV_DK_EKCH,FUERTEVENTURA airport - KOBENHAVN/KASTRUP airport,2019,,253,,,,,
