STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_AE_OMDB,HELSINKI/VANTAA airport - DUBAI INTERNATIONAL airport,2019,,913,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_AT_LOWW,HELSINKI/VANTAA airport - WIEN-SCHWECHAT airport,2019,,1442,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_BE_EBBR,HELSINKI/VANTAA airport - BRUSSELS airport,2019,,2278,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_CH_LSGG,HELSINKI/VANTAA airport - GENEVA airport,2019,,1149,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_CH_LSZH,HELSINKI/VANTAA airport - ZURICH airport,2019,,1475,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_CN_ZBAA,HELSINKI/VANTAA airport - BEIJING/CAPITAL airport,2019,,720,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_CN_ZSPD,HELSINKI/VANTAA airport - SHANGHAI/PUDONG airport,2019,,1000,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_CZ_LKPR,HELSINKI/VANTAA airport - PRAHA/RUZYNE airport,2019,,2083,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_DE_EDDF,HELSINKI/VANTAA airport - FRANKFURT/MAIN airport,2019,,3604,,,,,
dataflow,ESTAT:AVIA_PAR_FI(1.0),Air passenger transport routes between partner airports and main airports in Finland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FI_EFHK_DE_EDDH,HELSINKI/VANTAA airport - HAMBURG airport,2019,,1455,,,,,
