STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_FR_FMEE,DZAOUDZI airport - SAINT DENIS GILLOT airport,2019,,962,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_FR_LFPG,DZAOUDZI airport - PARIS-CHARLES DE GAULLE airport,2019,,277,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_KE_HKJK,DZAOUDZI airport - NAIROBI/JOMO KENYATTA INTL. TWR/APP/NOF/MET/CIVIL AIRLINES airport,2019,,388,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_KM_FMCH,DZAOUDZI airport - MORONI/PRINCE SAID IBRAHIM airport,2019,,412,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_KM_FMCV,DZAOUDZI airport - ANJOUAN/OUANI airport,2019,,937,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_MG_FMNM,DZAOUDZI airport - MAHAJANGA/PH. TSIRANANA airport,2019,,438,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMCZ_MG_FMNN,DZAOUDZI airport - NOSY-BE airport,2019,,359,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMEE_CN_ZGGG,SAINT DENIS GILLOT airport - GUANGZHOU/BAIYUN airport,2019,,110,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMEE_FR_FMCZ,SAINT DENIS GILLOT airport - DZAOUDZI airport,2019,,959,,,,,
dataflow,ESTAT:AVIA_PAR_FR(1.0),Air passenger transport routes between partner airports and main airports in France,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,FR_FMEE_FR_LFLL,SAINT DENIS GILLOT airport - LYON SAINT-EXUPERY airport,2019,,64,,,,,
