STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_AT_LOWW,DUBROVNIK/CILIPI airport - WIEN-SCHWECHAT airport,2019,,583,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_BE_EBBR,DUBROVNIK/CILIPI airport - BRUSSELS airport,2019,,296,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_CH_LSGG,DUBROVNIK/CILIPI airport - GENEVA airport,2019,,155,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_CH_LSZH,DUBROVNIK/CILIPI airport - ZURICH airport,2019,,378,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_CZ_LKPR,DUBROVNIK/CILIPI airport - PRAHA/RUZYNE airport,2019,,260,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DE_EDDB,DUBROVNIK/CILIPI airport - BERLIN-BRANDENBURG airport,2019,,134,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DE_EDDF,DUBROVNIK/CILIPI airport - FRANKFURT/MAIN airport,2019,,1005,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DE_EDDL,DUBROVNIK/CILIPI airport - DUESSELDORF airport,2019,,232,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DE_EDDM,DUBROVNIK/CILIPI airport - MUENCHEN airport,2019,,841,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DE_EDDT,DUBROVNIK/CILIPI airport - BERLIN-TEGEL airport,2019,,277,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_DK_EKCH,DUBROVNIK/CILIPI airport - KOBENHAVN/KASTRUP airport,2019,,280,,,,,
dataflow,ESTAT:AVIA_PAR_HR(1.0),Air passenger transport routes between partner airports and main airports in Croatia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HR_LDDU_EL_LGAV,DUBROVNIK/CILIPI airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,697,,,,,
