STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_AE_OMDB,BUDAPEST/LISZT FERENC INTERNATIONAL airport - DUBAI INTERNATIONAL airport,2019,,706,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_AT_LOWW,BUDAPEST/LISZT FERENC INTERNATIONAL airport - WIEN-SCHWECHAT airport,2019,,2020,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_BE_EBBR,BUDAPEST/LISZT FERENC INTERNATIONAL airport - BRUSSELS airport,2019,,1797,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_BE_EBCI,BUDAPEST/LISZT FERENC INTERNATIONAL airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,1908,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_CH_LFSB,BUDAPEST/LISZT FERENC INTERNATIONAL airport - BALE-MULHOUSE airport,2019,,1566,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_CH_LSGG,BUDAPEST/LISZT FERENC INTERNATIONAL airport - GENEVA airport,2019,,686,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_CH_LSZH,BUDAPEST/LISZT FERENC INTERNATIONAL airport - ZURICH airport,2019,,2055,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_CZ_LKPR,BUDAPEST/LISZT FERENC INTERNATIONAL airport - PRAHA/RUZYNE airport,2019,,2642,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDB,BUDAPEST/LISZT FERENC INTERNATIONAL airport - BERLIN-BRANDENBURG airport,2019,,1577,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDF,BUDAPEST/LISZT FERENC INTERNATIONAL airport - FRANKFURT/MAIN airport,2019,,4990,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDH,BUDAPEST/LISZT FERENC INTERNATIONAL airport - HAMBURG airport,2019,,686,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDK,BUDAPEST/LISZT FERENC INTERNATIONAL airport - KOELN/BONN airport,2019,,609,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDL,BUDAPEST/LISZT FERENC INTERNATIONAL airport - DUESSELDORF airport,2019,,1332,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDM,BUDAPEST/LISZT FERENC INTERNATIONAL airport - MUENCHEN airport,2019,,3187,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDN,BUDAPEST/LISZT FERENC INTERNATIONAL airport - NUERNBERG airport,2019,,620,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDS,BUDAPEST/LISZT FERENC INTERNATIONAL airport - STUTTGART airport,2019,,1634,,,,,
dataflow,ESTAT:AVIA_PAR_HU(1.0),Air passenger transport routes between partner airports and main airports in Hungary,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,HU_LHBP_DE_EDDT,BUDAPEST/LISZT FERENC INTERNATIONAL airport - BERLIN-TEGEL airport,2019,,944,,,,,
