STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_CH_LSZH,CORK airport - ZURICH airport,2019,,213,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_GCLP,CORK airport - GRAN CANARIA airport,2019,,142,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_GCRR,CORK airport - LANZAROTE airport,2019,,660,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_GCTS,CORK airport - TENERIFE SUR/REINA SOFIA airport,2019,,227,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_LEAL,CORK airport - ALICANTE airport,2019,,415,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_LEBL,CORK airport - BARCELONA/EL PRAT airport,2019,,283,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_LEMG,CORK airport - MALAGA/COSTA DEL SOL airport,2019,,1001,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_ES_LEPA,CORK airport - PALMA DE MALLORCA airport,2019,,361,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_FR_LFPG,CORK airport - PARIS-CHARLES DE GAULLE airport,2019,,1260,,,,,
dataflow,ESTAT:AVIA_PAR_IE(1.0),Air passenger transport routes between partner airports and main airports in Ireland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IE_EICK_HU_LHBP,CORK airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,2019,,153,,,,,
