STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIAR_IS_BIRK,AKUREYRI airport - REYKJAVIK airport,2019,,2992,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_AT_LOWW,KEFLAVIK airport - WIEN-SCHWECHAT airport,2019,,344,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_BE_EBBR,KEFLAVIK airport - BRUSSELS airport,2019,,712,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_CA_CYUL,"KEFLAVIK airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport",2019,,461,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_CA_CYVR,"KEFLAVIK airport - VANCOUVER INTL, BC airport",2019,,466,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_CA_CYYZ,"KEFLAVIK airport - TORONTO/LESTER B. PEARSON INTL, ON airport",2019,,1241,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_CH_LSGG,KEFLAVIK airport - GENEVA airport,2019,,274,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_CH_LSZH,KEFLAVIK airport - ZURICH airport,2019,,621,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_DE_EDDF,KEFLAVIK airport - FRANKFURT/MAIN airport,2019,,1619,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_DE_EDDH,KEFLAVIK airport - HAMBURG airport,2019,,476,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_DE_EDDM,KEFLAVIK airport - MUENCHEN airport,2019,,1035,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_DE_EDDT,KEFLAVIK airport - BERLIN-TEGEL airport,2019,,737,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_DK_EKCH,KEFLAVIK airport - KOBENHAVN/KASTRUP airport,2019,,3195,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_ES_GCTS,KEFLAVIK airport - TENERIFE SUR/REINA SOFIA airport,2019,,468,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_ES_LEAL,KEFLAVIK airport - ALICANTE airport,2019,,425,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_ES_LEBL,KEFLAVIK airport - BARCELONA/EL PRAT airport,2019,,456,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_ES_LEMD,KEFLAVIK airport - MADRID/BARAJAS airport,2019,,398,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_FI_EFHK,KEFLAVIK airport - HELSINKI/VANTAA airport,2019,,1510,,,,,
dataflow,ESTAT:AVIA_PAR_IS(1.0),Air passenger transport routes between partner airports and main airports in Iceland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IS_BIKF_FR_LFPG,KEFLAVIK airport - PARIS-CHARLES DE GAULLE airport,2019,,1517,,,,,
