STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBC_DE_EDDN,CROTONE airport - NUERNBERG airport,2019,,120,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBC_IT_LIME,CROTONE airport - BERGAMO/ORIO AL SERIO airport,2019,,631,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBC_IT_LIPE,CROTONE airport - BOLOGNA/BORGO PANIGALE airport,2019,,237,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_AT_LOWW,BARI/PALESE airport - WIEN-SCHWECHAT airport,2019,,493,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_BE_EBCI,BARI/PALESE airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,436,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_CZ_LKPR,BARI/PALESE airport - PRAHA/RUZYNE airport,2019,,369,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_DE_EDDB,BARI/PALESE airport - BERLIN-BRANDENBURG airport,2019,,313,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_DE_EDDF,BARI/PALESE airport - FRANKFURT/MAIN airport,2019,,446,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_DE_EDDM,BARI/PALESE airport - MUENCHEN airport,2019,,1146,,,,,
dataflow,ESTAT:AVIA_PAR_IT(1.0),Air passenger transport routes between partner airports and main airports in Italy,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,IT_LIBD_DE_EDFH,BARI/PALESE airport - FRANKFURT-HAHN airport,2019,,312,,,,,
