STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_DK_EKCH,KAUNAS INTL airport - KOBENHAVN/KASTRUP airport,2019,,704,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_ES_LEAL,KAUNAS INTL airport - ALICANTE airport,2019,,332,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_ES_LEGE,KAUNAS INTL airport - GIRONA airport,2019,,118,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_ES_LEPA,KAUNAS INTL airport - PALMA DE MALLORCA airport,2019,,124,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_FI_EFTU,KAUNAS INTL airport - TURKU airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IE_EIDW,KAUNAS INTL airport - DUBLIN airport,2019,,456,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IE_EINN,KAUNAS INTL airport - SHANNON airport,2019,,172,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IL_LLBG,KAUNAS INTL airport - TEL-AVIV/BEN GURION airport,2019,,176,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IT_LIMC,KAUNAS INTL airport - MILANO/MALPENSA airport,2019,,294,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IT_LIPE,KAUNAS INTL airport - BOLOGNA/BORGO PANIGALE airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_IT_LIRN,KAUNAS INTL airport - NAPOLI/CAPODICHINO airport,2019,,170,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_NL_EHEH,KAUNAS INTL airport - EINDHOVEN airport,2019,,209,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_NO_ENAL,KAUNAS INTL airport - ALESUND/VIGRA airport,2019,,207,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_NO_ENBR,KAUNAS INTL airport - BERGEN/FLESLAND airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_NO_ENZV,KAUNAS INTL airport - STAVANGER/SOLA airport,2019,,278,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_PL_EPWA,KAUNAS INTL airport - WARSZAWA/CHOPINA airport,2019,,622,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_UK_EGGD,KAUNAS INTL airport - BRISTOL airport,2019,,212,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_UK_EGGW,KAUNAS INTL airport - LONDON LUTON airport,2019,,1247,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_UK_EGPH,KAUNAS INTL airport - EDINBURGH airport,2019,,158,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYKA_UK_EGSS,KAUNAS INTL airport - LONDON STANSTED airport,2019,,455,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_DE_EDLW,PALANGA/INTERNATIONAL airport - DORTMUND airport,2019,,145,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_DK_EKCH,PALANGA/INTERNATIONAL airport - KOBENHAVN/KASTRUP airport,2019,,1189,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_LV_EVRA,PALANGA/INTERNATIONAL airport - RIGA airport,2019,,1386,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_NO_ENGM,PALANGA/INTERNATIONAL airport - OSLO/GARDERMOEN airport,2019,,309,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_UK_EGGW,PALANGA/INTERNATIONAL airport - LONDON LUTON airport,2019,,368,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYPA_UK_EGSS,PALANGA/INTERNATIONAL airport - LONDON STANSTED airport,2019,,210,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYVI_AT_LOWW,VILNIUS INTL airport - WIEN-SCHWECHAT airport,2019,,730,,,,,
dataflow,ESTAT:AVIA_PAR_LT(1.0),Air passenger transport routes between partner airports and main airports in  Lithuania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LT_EYVI_BE_EBBR,VILNIUS INTL airport - BRUSSELS airport,2019,,509,,,,,
