STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_AT_LOWW,LUXEMBOURG airport - WIEN-SCHWECHAT airport,2019,,2502,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_CH_LSGG,LUXEMBOURG airport - GENEVA airport,2019,,1540,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_CH_LSZH,LUXEMBOURG airport - ZURICH airport,2019,,1982,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DE_EDDB,LUXEMBOURG airport - BERLIN-BRANDENBURG airport,2019,,307,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DE_EDDF,LUXEMBOURG airport - FRANKFURT/MAIN airport,2019,,3419,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DE_EDDM,LUXEMBOURG airport - MUENCHEN airport,2019,,4237,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DE_EDDR,LUXEMBOURG airport - SAARBRUECKEN airport,2019,,1138,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DE_EDDT,LUXEMBOURG airport - BERLIN-TEGEL airport,2019,,1573,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_DK_EKCH,LUXEMBOURG airport - KOBENHAVN/KASTRUP airport,2019,,1726,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_EG_HEGN,LUXEMBOURG airport - HURGHADA / INTL airport,2019,,131,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_EL_LGAV,LUXEMBOURG airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,160,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_EL_LGIR,LUXEMBOURG airport - IRAKLION/NIKOS KAZANTZAKIS airport,2019,,180,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_EL_LGRP,LUXEMBOURG airport - RODOS/DIAGORAS airport,2019,,133,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_GCLP,LUXEMBOURG airport - GRAN CANARIA airport,2019,,239,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_GCRR,LUXEMBOURG airport - LANZAROTE airport,2019,,172,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_GCTS,LUXEMBOURG airport - TENERIFE SUR/REINA SOFIA airport,2019,,249,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_LEBL,LUXEMBOURG airport - BARCELONA/EL PRAT airport,2019,,1164,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_LEMD,LUXEMBOURG airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2019,,1017,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_LEMG,LUXEMBOURG airport - MALAGA/COSTA DEL SOL airport,2019,,395,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_LEPA,LUXEMBOURG airport - PALMA DE MALLORCA airport,2019,,833,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_ES_LEZL,LUXEMBOURG airport - SEVILLA airport,2019,,212,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_FR_LFBD,LUXEMBOURG airport - BORDEAUX-MERIGNAC airport,2019,,400,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_FR_LFMN,LUXEMBOURG airport - NICE-COTE D'AZUR airport,2019,,1068,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_FR_LFPG,LUXEMBOURG airport - PARIS-CHARLES DE GAULLE airport,2019,,2901,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IE_EIDW,LUXEMBOURG airport - DUBLIN airport,2019,,890,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IT_LIMC,LUXEMBOURG airport - MILANO/MALPENSA airport,2019,,2756,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IT_LIME,LUXEMBOURG airport - BERGAMO/ORIO AL SERIO airport,2019,,412,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IT_LIML,LUXEMBOURG airport - MILANO/LINATE airport,2019,,928,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IT_LIPZ,LUXEMBOURG airport - VENEZIA/TESSERA airport,2019,,484,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_IT_LIRF,LUXEMBOURG airport - ROMA/FIUMICINO airport,2019,,739,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_MT_LMML,LUXEMBOURG airport - LUQA airport,2019,,218,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_NL_EHAM,LUXEMBOURG airport - AMSTERDAM/SCHIPHOL airport,2019,,2485,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_PL_EPWA,LUXEMBOURG airport - WARSZAWA/CHOPINA airport,2019,,1085,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_PT_LPFR,LUXEMBOURG airport - FARO airport,2019,,325,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_PT_LPPR,LUXEMBOURG airport - PORTO airport,2019,,2394,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_PT_LPPT,LUXEMBOURG airport - LISBOA airport,2019,,2290,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_TN_DTTJ,LUXEMBOURG airport - DJERBA/ZARZIS airport,2019,,325,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_TR_LTAI,LUXEMBOURG airport - ANTALYA (MIL-CIV) airport,2019,,211,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_TR_LTFK,LUXEMBOURG airport - GOKCEADA airport,2019,,645,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGCC,LUXEMBOURG airport - MANCHESTER airport,2019,,412,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGKK,LUXEMBOURG airport - LONDON GATWICK airport,2019,,459,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGLC,LUXEMBOURG airport - LONDON/CITY airport,2019,,3641,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGLL,LUXEMBOURG airport - LONDON HEATHROW airport,2019,,1486,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGPH,LUXEMBOURG airport - EDINBURGH airport,2019,,236,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LU_ELLX_UK_EGSS,LUXEMBOURG airport - LONDON STANSTED airport,2019,,658,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_AT_LOWW,LUXEMBOURG airport - WIEN-SCHWECHAT airport,2019,,123999,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_CH_LSGG,LUXEMBOURG airport - GENEVA airport,2019,,54115,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_CH_LSZH,LUXEMBOURG airport - ZURICH airport,2019,,126236,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DE_EDDB,LUXEMBOURG airport - BERLIN-BRANDENBURG airport,2019,,38305,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DE_EDDF,LUXEMBOURG airport - FRANKFURT/MAIN airport,2019,,202300,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DE_EDDH,LUXEMBOURG airport - HAMBURG airport,2019,,24951,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DE_EDDM,LUXEMBOURG airport - MUENCHEN airport,2019,,216312,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DE_EDDT,LUXEMBOURG airport - BERLIN-TEGEL airport,2019,,110759,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_DK_EKCH,LUXEMBOURG airport - KOBENHAVN/KASTRUP airport,2019,,80001,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_EG_HEGN,LUXEMBOURG airport - HURGHADA / INTL airport,2019,,20313,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_EL_LGAV,LUXEMBOURG airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,22332,,,,,
dataflow,ESTAT:AVIA_PAR_LU(1.0),Air passenger transport routes between partner airports and main airports in Luxembourg,A,Annual,PAS,Passenger,PAS_CRD,Passengers carried,LU_ELLX_EL_LGIR,LUXEMBOURG airport - IRAKLION/NIKOS KAZANTZAKIS airport,2019,,26973,,,,,
