STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_AT_LOWW,RIGA airport - WIEN-SCHWECHAT airport,2019,,1273,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_BE_EBBR,RIGA airport - BRUSSELS airport,2019,,1207,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_BE_EBCI,RIGA airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,302,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_BY_UMMS,RIGA airport - MINSK-2 airport,2019,,1232,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_CH_LSZH,RIGA airport - ZURICH airport,2019,,1018,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_CZ_LKPR,RIGA airport - PRAHA/RUZYNE airport,2019,,1237,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDB,RIGA airport - BERLIN-BRANDENBURG airport,2019,,728,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDF,RIGA airport - FRANKFURT/MAIN airport,2019,,2106,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDH,RIGA airport - HAMBURG airport,2019,,1162,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDK,RIGA airport - KOELN/BONN airport,2019,,271,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDL,RIGA airport - DUESSELDORF airport,2019,,524,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDM,RIGA airport - MUENCHEN airport,2019,,1152,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DE_EDDT,RIGA airport - BERLIN-TEGEL airport,2019,,1790,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DK_EKBI,RIGA airport - BILLUND airport,2019,,929,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_DK_EKCH,RIGA airport - KOBENHAVN/KASTRUP airport,2019,,2594,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_EE_EETN,RIGA airport - LENNART MERI TALLINN airport,2019,,3873,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_ES_LEBL,RIGA airport - BARCELONA/EL PRAT airport,2019,,749,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_FI_EFHK,RIGA airport - HELSINKI/VANTAA airport,2019,,5542,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_FI_EFTU,RIGA airport - TURKU airport,2019,,867,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_FR_LFPG,RIGA airport - PARIS-CHARLES DE GAULLE airport,2019,,1235,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_GE_UGTB,RIGA airport - TBILISI airport,2019,,492,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_IE_EIDW,RIGA airport - DUBLIN airport,2019,,954,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_IL_LLBG,RIGA airport - TEL-AVIV/BEN GURION airport,2019,,546,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_IS_BIKF,RIGA airport - KEFLAVIK airport,2019,,359,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_IT_LIMC,RIGA airport - MILANO/MALPENSA airport,2019,,622,,,,,
dataflow,ESTAT:AVIA_PAR_LV(1.0),Air passenger transport routes between partner airports and main airports in Latvia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,LV_EVRA_IT_LIME,RIGA airport - BERGAMO/ORIO AL SERIO airport,2019,,450,,,,,
