STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_AT_LOWW,PODGORICA airport - WIEN-SCHWECHAT airport,2019,,1034,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_BE_EBCI,PODGORICA airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_CH_LSZH,PODGORICA airport - ZURICH airport,2019,,408,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_DE_EDDB,PODGORICA airport - BERLIN-BRANDENBURG airport,2019,,210,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_DE_EDDF,PODGORICA airport - FRANKFURT/MAIN airport,2019,,343,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_DE_EDDS,PODGORICA airport - STUTTGART airport,2019,,158,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_DE_EDJA,PODGORICA airport - MEMMINGEN airport,2019,,255,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_FR_LFPG,PODGORICA airport - PARIS-CHARLES DE GAULLE airport,2019,,452,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_HU_LHBP,PODGORICA airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,2019,,242,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_IT_LIMC,PODGORICA airport - MILANO/MALPENSA airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_ME(1.0),Air passenger transport routes between partner airports and main airports in Montenegro,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,ME_LYPG_IT_LIPE,PODGORICA airport - BOLOGNA/BORGO PANIGALE airport,2019,,153,,,,,
