STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_AE_OMDB,SKOPJE airport - DUBAI INTERNATIONAL airport,2019,,210,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_AT_LOWW,SKOPJE airport - WIEN-SCHWECHAT airport,2019,,1249,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_BE_EBCI,SKOPJE airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,277,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_CH_LSZH,SKOPJE airport - ZURICH airport,2019,,1029,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDB,SKOPJE airport - BERLIN-BRANDENBURG airport,2019,,276,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDH,SKOPJE airport - HAMBURG airport,2019,,240,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDK,SKOPJE airport - KOELN/BONN airport,2019,,325,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDN,SKOPJE airport - NUERNBERG airport,2019,,207,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDV,SKOPJE airport - HANNOVER airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_MK(1.0),Air passenger transport routes between partner airports and main airports in North Macedonia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MK_LWSK_DE_EDDW,SKOPJE airport - BREMEN airport,2019,,164,,,,,
