STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_AE_OMDB,LUQA airport - DUBAI INTERNATIONAL airport,2019,,937,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_AT_LOWW,LUQA airport - WIEN-SCHWECHAT airport,2019,,1110,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_BE_EBBR,LUQA airport - BRUSSELS airport,2019,,862,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_BE_EBCI,LUQA airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,724,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_BG_LBSF,LUQA airport - SOFIA airport,2019,,281,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_CH_LSZH,LUQA airport - ZURICH airport,2019,,927,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DE_EDDF,LUQA airport - FRANKFURT/MAIN airport,2019,,2470,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DE_EDDK,LUQA airport - KOELN/BONN airport,2019,,295,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DE_EDDL,LUQA airport - DUESSELDORF airport,2019,,316,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DE_EDDM,LUQA airport - MUENCHEN airport,2019,,1753,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DE_EDDT,LUQA airport - BERLIN-TEGEL airport,2019,,291,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_DK_EKCH,LUQA airport - KOBENHAVN/KASTRUP airport,2019,,280,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_EL_LGAV,LUQA airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,554,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_ES_LEBL,LUQA airport - BARCELONA/EL PRAT airport,2019,,878,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_ES_LEMD,LUQA airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2019,,643,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_ES_LEVC,LUQA airport - VALENCIA airport,2019,,272,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_FR_LFLL,LUQA airport - LYON SAINT-EXUPERY airport,2019,,352,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_FR_LFML,LUQA airport - MARSEILLE-PROVENCE airport,2019,,330,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_FR_LFPG,LUQA airport - PARIS-CHARLES DE GAULLE airport,2019,,788,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_FR_LFPO,LUQA airport - PARIS-ORLY airport,2019,,774,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_HU_LHBP,LUQA airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,2019,,553,,,,,
dataflow,ESTAT:AVIA_PAR_MT(1.0),Air passenger transport routes between partner airports and main airports in Malta,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,MT_LMML_IE_EIDW,LUQA airport - DUBLIN airport,2019,,464,,,,,
