STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_LT_EYKA,ALESUND/VIGRA airport - KAUNAS INTL airport,2019,,206,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_NL_EHAM,ALESUND/VIGRA airport - AMSTERDAM/SCHIPHOL airport,2019,,1131,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_NO_ENBR,ALESUND/VIGRA airport - BERGEN/FLESLAND airport,2019,,2369,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_NO_ENGM,ALESUND/VIGRA airport - OSLO/GARDERMOEN airport,2019,,5720,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_NO_ENVA,ALESUND/VIGRA airport - TRONDHEIM/VAERNES airport,2019,,1184,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAL_PL_EPGD,ALESUND/VIGRA airport - GDANSK IM LECHA WALESY airport,2019,,657,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAT_NO_ENGM,ALTA airport - OSLO/GARDERMOEN airport,2019,,1250,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENAT_NO_ENTC,ALTA airport - TROMSO/LANGNES airport,2019,,3230,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENAN,BODO airport - ANDOYA/ANDENES airport,2019,,1254,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENBN,BODO airport - BRONNOYSUND/BRONNOY airport,2019,,1220,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENBR,BODO airport - BERGEN/FLESLAND airport,2019,,854,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENEV,BODO airport - HARSTAD/NARVIK/EVENES airport,2019,,1622,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENGM,BODO airport - OSLO/GARDERMOEN airport,2019,,6635,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENLK,BODO airport - LEKNES airport,2019,,4071,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENMS,BODO airport - MOSJOEN/KJAERSTAD airport,2019,,1205,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENRA,BODO airport - MO I RANA/ROSSVOLL airport,2019,,1946,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENSH,BODO airport - SVOLVAER/HELLE airport,2019,,2919,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENSK,BODO airport - STOKMARKNES/SKAGEN airport,2019,,3055,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENST,BODO airport - SANDNESSJOEN/STOKKA airport,2019,,1177,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENTC,BODO airport - TROMSO/LANGNES airport,2019,,3131,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBO_NO_ENVA,BODO airport - TRONDHEIM/VAERNES airport,2019,,2805,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_DE_EDDB,BERGEN/FLESLAND airport - BERLIN-BRANDENBURG airport,2019,,303,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_DK_EKCH,BERGEN/FLESLAND airport - KOBENHAVN/KASTRUP airport,2019,,4108,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_ES_GCLP,BERGEN/FLESLAND airport - GRAN CANARIA airport,2019,,478,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_ES_LEAL,BERGEN/FLESLAND airport - ALICANTE airport,2019,,603,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_ES_LEMG,BERGEN/FLESLAND airport - MALAGA/COSTA DEL SOL airport,2019,,272,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_FI_EFHK,BERGEN/FLESLAND airport - HELSINKI/VANTAA airport,2019,,701,,,,,
dataflow,ESTAT:AVIA_PAR_NO(1.0),Air passenger transport routes between partner airports and main airports in Norway,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NO_ENBR_FR_LFPG,BERGEN/FLESLAND airport - PARIS-CHARLES DE GAULLE airport,2019,,669,,,,,
