STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_BG_LBBG,BYDGOSZCZ/SZWEDEROWO airport - BURGAS airport,2019,,88,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_DE_EDDF,BYDGOSZCZ/SZWEDEROWO airport - FRANKFURT/MAIN airport,2019,,709,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_IE_EIDW,BYDGOSZCZ/SZWEDEROWO airport - DUBLIN airport,2019,,247,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_TR_LTAI,BYDGOSZCZ/SZWEDEROWO airport - ANTALYA airport,2019,,103,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_UA_UKBB,BYDGOSZCZ/SZWEDEROWO airport - KYIV/BORYSPIL airport,2019,,207,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_UK_EGBB,BYDGOSZCZ/SZWEDEROWO airport - BIRMINGHAM airport,2019,,316,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_UK_EGGW,BYDGOSZCZ/SZWEDEROWO airport - LONDON LUTON airport,2019,,312,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_UK_EGPK,BYDGOSZCZ/SZWEDEROWO airport - PRESTWICK airport,2019,,120,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPBY_UK_EGSS,BYDGOSZCZ/SZWEDEROWO airport - LONDON STANSTED airport,2019,,657,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPGD_DE_EDDF,GDANSK IM LECHA WALESY airport - FRANKFURT/MAIN airport,2019,,1460,,,,,
dataflow,ESTAT:AVIA_PAR_PL(1.0),Air passenger transport routes between partner airports and main airports in Poland,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PL_EPGD_DE_EDDH,GDANSK IM LECHA WALESY airport - HAMBURG airport,2019,,488,,,,,
