STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_AT_LOWW,FARO airport - WIEN-SCHWECHAT airport,2019,,375,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_BE_EBBR,FARO airport - BRUSSELS airport,2019,,772,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_BE_EBCI,FARO airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,528,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_CH_LSGG,FARO airport - GENEVA airport,2019,,520,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDB,FARO airport - BERLIN-BRANDENBURG airport,2019,,429,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDF,FARO airport - FRANKFURT/MAIN airport,2019,,1328,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDH,FARO airport - HAMBURG airport,2019,,388,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDK,FARO airport - KOELN/BONN airport,2019,,630,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDL,FARO airport - DUESSELDORF airport,2019,,891,,,,,
dataflow,ESTAT:AVIA_PAR_PT(1.0),Air passenger transport routes between partner airports and main airports in Portugal,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,PT_LPFR_DE_EDDM,FARO airport - MUENCHEN airport,2019,,574,,,,,
