STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_BE_EBBR,BACAU airport - BRUSSELS airport,2019,,220,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_ES_LEMD,BACAU airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2019,,112,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_IE_EIDW,BACAU airport - DUBLIN airport,2019,,296,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_IT_LIME,BACAU airport - BERGAMO/ORIO AL SERIO airport,2019,,351,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_IT_LIMF,BACAU airport - TORINO/CASELLE airport,2019,,346,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_IT_LIPE,BACAU airport - BOLOGNA/BORGO PANIGALE airport,2019,,256,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_IT_LIRF,BACAU airport - ROMA/FIUMICINO airport,2019,,567,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_UK_EGGP,BACAU airport - LIVERPOOL airport,2019,,196,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRBC_UK_EGGW,BACAU airport - LONDON LUTON airport,2019,,577,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_AT_LOWW,CLUJ NAPOCA/AVRAM IANCU airport - WIEN-SCHWECHAT airport,2019,,206,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_BE_EBCI,CLUJ NAPOCA/AVRAM IANCU airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,457,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_CY_LCLK,CLUJ NAPOCA/AVRAM IANCU airport - LARNAKA/INTL airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDDB,CLUJ NAPOCA/AVRAM IANCU airport - BERLIN-BRANDENBURG airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDDF,CLUJ NAPOCA/AVRAM IANCU airport - FRANKFURT/MAIN airport,2019,,634,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDDK,CLUJ NAPOCA/AVRAM IANCU airport - KOELN/BONN airport,2019,,172,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDDM,CLUJ NAPOCA/AVRAM IANCU airport - MUENCHEN airport,2019,,1831,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDDN,CLUJ NAPOCA/AVRAM IANCU airport - NUERNBERG airport,2019,,209,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDFH,CLUJ NAPOCA/AVRAM IANCU airport - FRANKFURT-HAHN airport,2019,,207,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDJA,CLUJ NAPOCA/AVRAM IANCU airport - MEMMINGEN airport,2019,,200,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DE_EDLW,CLUJ NAPOCA/AVRAM IANCU airport - DORTMUND airport,2019,,496,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_DK_EKBI,CLUJ NAPOCA/AVRAM IANCU airport - BILLUND airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEAL,CLUJ NAPOCA/AVRAM IANCU airport - ALICANTE airport,2019,,144,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEBL,CLUJ NAPOCA/AVRAM IANCU airport - BARCELONA/EL PRAT airport,2019,,595,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEMD,CLUJ NAPOCA/AVRAM IANCU airport - ADOLFO SUAREZ MADRID-BARAJAS airport,2019,,512,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEMG,CLUJ NAPOCA/AVRAM IANCU airport - MALAGA/COSTA DEL SOL airport,2019,,142,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEVC,CLUJ NAPOCA/AVRAM IANCU airport - VALENCIA airport,2019,,263,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_ES_LEZG,CLUJ NAPOCA/AVRAM IANCU airport - ZARAGOZA airport,2019,,254,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_FR_LFLL,CLUJ NAPOCA/AVRAM IANCU airport - LYON SAINT-EXUPERY airport,2019,,209,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_FR_LFOB,CLUJ NAPOCA/AVRAM IANCU airport - BEAUVAIS-TILLE airport,2019,,791,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_FR_LFSB,CLUJ NAPOCA/AVRAM IANCU airport - BALE-MULHOUSE airport,2019,,311,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IE_EIDW,CLUJ NAPOCA/AVRAM IANCU airport - DUBLIN airport,2019,,296,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IL_LLBG,CLUJ NAPOCA/AVRAM IANCU airport - TEL-AVIV/BEN GURION airport,2019,,357,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IT_LIBD,CLUJ NAPOCA/AVRAM IANCU airport - BARI/PALESE airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IT_LIME,CLUJ NAPOCA/AVRAM IANCU airport - BERGAMO/ORIO AL SERIO airport,2019,,727,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IT_LIPE,CLUJ NAPOCA/AVRAM IANCU airport - BOLOGNA/BORGO PANIGALE airport,2019,,479,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IT_LIPH,CLUJ NAPOCA/AVRAM IANCU airport - TREVISO/S.ANGELO airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_IT_LIRA,CLUJ NAPOCA/AVRAM IANCU airport - ROMA/CIAMPINO airport,2019,,308,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_MT_LMML,CLUJ NAPOCA/AVRAM IANCU airport - LUQA airport,2019,,166,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_NL_EHEH,CLUJ NAPOCA/AVRAM IANCU airport - EINDHOVEN airport,2019,,312,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_PL_EPWA,CLUJ NAPOCA/AVRAM IANCU airport - WARSZAWA/CHOPINA airport,2019,,590,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_RO_LROP,CLUJ NAPOCA/AVRAM IANCU airport - BUCURESTI/HENRI COANDA airport,2019,,4055,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_SE_ESMS,CLUJ NAPOCA/AVRAM IANCU airport - MALMO airport,2019,,272,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_TR_LTAI,CLUJ NAPOCA/AVRAM IANCU airport - ANTALYA (MIL-CIV) airport,2019,,213,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_TR_LTFM,CLUJ NAPOCA/AVRAM IANCU airport - ISTANBUL/ISTANBUL HAVALIMANI airport,2019,,418,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_UK_EGBB,CLUJ NAPOCA/AVRAM IANCU airport - BIRMINGHAM airport,2019,,208,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_UK_EGCN,CLUJ NAPOCA/AVRAM IANCU airport - DONCASTER SHEFFIELD airport,2019,,254,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_UK_EGGP,CLUJ NAPOCA/AVRAM IANCU airport - LIVERPOOL airport,2019,,206,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_UK_EGGW,CLUJ NAPOCA/AVRAM IANCU airport - LONDON LUTON airport,2019,,1758,,,,,
dataflow,ESTAT:AVIA_PAR_RO(1.0),Air passenger transport routes between partner airports and main airports in Romania,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RO_LRCL_UK_EGKK,CLUJ NAPOCA/AVRAM IANCU airport - LONDON GATWICK airport,2019,,520,,,,,
