STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_AE_OMAA,BEOGRAD/NIKOLA TESLA airport - ABU DHABI INTERNATIONAL airport,2019,,919,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_AE_OMDB,BEOGRAD/NIKOLA TESLA airport - DUBAI INTERNATIONAL airport,2019,,546,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_AL_LATI,BEOGRAD/NIKOLA TESLA airport - TIRANA airport,2019,,908,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_AT_LOWW,BEOGRAD/NIKOLA TESLA airport - WIEN-SCHWECHAT airport,2019,,3530,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_BA_LQSA,BEOGRAD/NIKOLA TESLA airport - SARAJEVO airport,2019,,759,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_CH_LFSB,BEOGRAD/NIKOLA TESLA airport - BALE-MULHOUSE airport,2019,,295,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_CH_LSGG,BEOGRAD/NIKOLA TESLA airport - GENEVA airport,2019,,336,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_CH_LSZH,BEOGRAD/NIKOLA TESLA airport - ZURICH airport,2019,,3486,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_CY_LCLK,BEOGRAD/NIKOLA TESLA airport - LARNAKA/INTL airport,2019,,526,,,,,
dataflow,ESTAT:AVIA_PAR_RS(1.0),Air passenger transport routes between partner airports and main airports in Serbia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,RS_LYBE_DE_EDDF,BEOGRAD/NIKOLA TESLA airport - FRANKFURT/MAIN airport,2019,,2085,,,,,
