STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESDF_SE_ESSA,RONNEBY airport - STOCKHOLM/ARLANDA airport,2019,,1857,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESDF_SE_ESSB,RONNEBY airport - STOCKHOLM/BROMMA airport,2019,,2133,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_BA_LQTZ,GOTEBORG/LANDVETTER airport - TUZLA airport,2019,,326,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_BE_EBBR,GOTEBORG/LANDVETTER airport - BRUSSELS airport,2019,,1810,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_CH_LSZH,GOTEBORG/LANDVETTER airport - ZURICH airport,2019,,917,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_CY_LCLK,GOTEBORG/LANDVETTER airport - LARNAKA/INTL airport,2019,,246,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_CZ_LKPR,GOTEBORG/LANDVETTER airport - PRAHA/RUZYNE airport,2019,,553,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_DE_EDDF,GOTEBORG/LANDVETTER airport - FRANKFURT/MAIN airport,2019,,3510,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_DE_EDDH,GOTEBORG/LANDVETTER airport - HAMBURG airport,2019,,588,,,,,
dataflow,ESTAT:AVIA_PAR_SE(1.0),Air passenger transport routes between partner airports and main airports in Sweden,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SE_ESGG_DE_EDDL,GOTEBORG/LANDVETTER airport - DUESSELDORF airport,2019,,1384,,,,,
