STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_AL_LATI,LJUBLJANA/BRNIK airport - TIRANA airport,2019,,746,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_AT_LOWW,LJUBLJANA/BRNIK airport - WIEN-SCHWECHAT airport,2019,,922,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_BA_LQSA,LJUBLJANA/BRNIK airport - SARAJEVO airport,2019,,422,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_BE_EBBR,LJUBLJANA/BRNIK airport - BRUSSELS airport,2019,,1021,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_BE_EBCI,LJUBLJANA/BRNIK airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,203,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_CH_LSZH,LJUBLJANA/BRNIK airport - ZURICH airport,2019,,1456,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_DE_EDDB,LJUBLJANA/BRNIK airport - BERLIN-BRANDENBURG airport,2019,,296,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_DE_EDDF,LJUBLJANA/BRNIK airport - FRANKFURT/MAIN airport,2019,,1791,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_DE_EDDM,LJUBLJANA/BRNIK airport - MUENCHEN airport,2019,,1304,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_DK_EKCH,LJUBLJANA/BRNIK airport - KOBENHAVN/KASTRUP airport,2019,,375,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_EG_HEGN,LJUBLJANA/BRNIK airport - HURGHADA / INTL airport,2019,,220,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_FI_EFHK,LJUBLJANA/BRNIK airport - HELSINKI/VANTAA airport,2019,,235,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_FR_LFPG,LJUBLJANA/BRNIK airport - PARIS-CHARLES DE GAULLE airport,2019,,1378,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_ME_LYPG,LJUBLJANA/BRNIK airport - PODGORICA airport,2019,,885,,,,,
dataflow,ESTAT:AVIA_PAR_SI(1.0),Air passenger transport routes between partner airports and main airports in Slovenia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SI_LJLJ_MK_LWSK,LJUBLJANA/BRNIK airport - SKOPJE airport,2019,,714,,,,,
