STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_AE_OMDB,BRATISLAVA/M.R.STEFANIK airport - DUBAI INTERNATIONAL airport,2019,,315,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_BE_EBCI,BRATISLAVA/M.R.STEFANIK airport - CHARLEROI/BRUSSELS SOUTH airport,2019,,370,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_BG_LBBG,BRATISLAVA/M.R.STEFANIK airport - BURGAS airport,2019,,306,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_BG_LBSF,BRATISLAVA/M.R.STEFANIK airport - SOFIA airport,2019,,369,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_CY_LCLK,BRATISLAVA/M.R.STEFANIK airport - LARNAKA/INTL airport,2019,,243,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_CY_LCPH,BRATISLAVA/M.R.STEFANIK airport - PAFOS/INTL airport,2019,,215,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_EG_HEGN,BRATISLAVA/M.R.STEFANIK airport - HURGHADA / INTL airport,2019,,476,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_EL_LGAV,BRATISLAVA/M.R.STEFANIK airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,2019,,249,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_EL_LGIR,BRATISLAVA/M.R.STEFANIK airport - IRAKLION/NIKOS KAZANTZAKIS airport,2019,,198,,,,,
dataflow,ESTAT:AVIA_PAR_SK(1.0),Air passenger transport routes between partner airports and main airports in Slovakia,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,SK_LZIB_EL_LGKR,BRATISLAVA/M.R.STEFANIK airport - KERKIRA/IOANNIS KAPODISTRIAS airport,2019,,156,,,,,
