STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_AT_LOWW,ANKARA/ESENBOGA airport - WIEN-SCHWECHAT airport,2024,,859,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_AZ_UBBB,ANKARA/ESENBOGA airport - HEYDAR ALIYEV INTERNATIONAL airport,2024,,1374,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_CY_LCEN,ANKARA/ESENBOGA airport - ERCAN airport,2024,,4346,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_DE_EDDF,ANKARA/ESENBOGA airport - FRANKFURT/MAIN airport,2024,,1027,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_DE_EDDK,ANKARA/ESENBOGA airport - KOELN/BONN airport,2024,,578,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_DE_EDDL,ANKARA/ESENBOGA airport - DUESSELDORF airport,2024,,1270,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_DE_EDDM,ANKARA/ESENBOGA airport - MUENCHEN airport,2024,,745,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_DE_EDDS,ANKARA/ESENBOGA airport - STUTTGART airport,2024,,616,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_IR_OIIE,ANKARA/ESENBOGA airport - TEHRAN/IMAM KHOMAINI INTL airport,2024,,939,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_RU_UUWW,ANKARA/ESENBOGA airport - MOSCOW/VNUKOVO airport,2024,,629,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_SA_OEJN,ANKARA/ESENBOGA airport - JEDDAH/KING ABDULAZIZ INTERNATIONAL airport,2024,,509,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_SA_OEMA,ANKARA/ESENBOGA airport - MADINAH/PRINCE MOHAMMAD BIN ABDULAZIZ INTERNATIONAL airport,2024,,461,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_TR_LTAF,ANKARA/ESENBOGA airport - ADANA airport,2024,,1268,,,,,
dataflow,ESTAT:AVIA_PAR_TR(1.0),Air passenger transport routes between partner airports and main airports in Türkiye,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,TR_LTAC_TR_LTAI,ANKARA/ESENBOGA airport - ANTALYA airport,2024,,5234,,,,,
