STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_GCFV,BELFAST/ALDERGROVE airport - FUERTEVENTURA airport,2019,,252,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_GCLP,BELFAST/ALDERGROVE airport - GRAN CANARIA airport,2019,,237,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_GCRR,BELFAST/ALDERGROVE airport - LANZAROTE airport,2019,,624,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_GCTS,BELFAST/ALDERGROVE airport - TENERIFE SUR/REINA SOFIA airport,2019,,674,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LEAL,BELFAST/ALDERGROVE airport - ALICANTE airport,2019,,1471,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LEBL,BELFAST/ALDERGROVE airport - BARCELONA/EL PRAT airport,2019,,298,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LEIB,BELFAST/ALDERGROVE airport - IBIZA airport,2019,,306,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LEMG,BELFAST/ALDERGROVE airport - MALAGA/COSTA DEL SOL airport,2019,,1362,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LEPA,BELFAST/ALDERGROVE airport - PALMA DE MALLORCA airport,2019,,1072,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_ES_LERS,BELFAST/ALDERGROVE airport - REUS airport,2019,,368,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_FR_LFPG,BELFAST/ALDERGROVE airport - PARIS-CHARLES DE GAULLE airport,2019,,568,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_LT_EYVI,BELFAST/ALDERGROVE airport - VILNIUS INTL airport,2019,,206,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_NL_EHAM,BELFAST/ALDERGROVE airport - AMSTERDAM/SCHIPHOL airport,2019,,869,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_PL_EPKK,BELFAST/ALDERGROVE airport - KRAKOW/BALICE airport,2019,,612,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_PT_LPFR,BELFAST/ALDERGROVE airport - FARO airport,2019,,1281,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_UK_EGBB,BELFAST/ALDERGROVE airport - BIRMINGHAM airport,2019,,1857,,,,,
dataflow,ESTAT:AVIA_PAR_UK(1.0),Air passenger transport routes between partner airports and main airports in the United Kingdom,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,UK_EGAA_UK_EGCC,BELFAST/ALDERGROVE airport - MANCHESTER airport,2019,,3444,,,,,
