ICAO,Latitude,Longitude,Airport_Name
BGSF,67.010446,-50.715294,Kangerlussuaq International Airport
BIAR,65.656573,-18.072018,Akureyri International Airport
BIEG,65.2833023071289,-14.401399612426758,Egilsstaðir Airport
BIIS,66.058098,-23.1353,Ísafjörður Airport
BIKF,63.985001,-22.6056,Keflavik International Airport
BIRK,64.128732,-21.93759,Reykjavík Domestic Airport
BKPR,42.5728,21.035801,Priština Adem Jashari International Airport
EBAW,51.190667,4.463153,Antwerp International Airport (Deurne)
EBBR,50.901402,4.48444,Brussels Airport
EBCI,50.461963,4.459562,Brussels South Charleroi Airport
EBLG,50.638574,5.443897,Liège Airport
EBOS,51.1998,2.874673,Ostend-Bruges International Airport
EDDB,52.361738,13.502341,Berlin Brandenburg Airport
EDDC,51.134123,13.767831,Dresden Airport
EDDE,50.978281,10.960713,Erfurt-Weimar Airport
EDDF,50.026706,8.55835,Frankfurt Main Airport
EDDG,52.133816,7.688482,Münster Osnabrück Airport
EDDH,53.630402,9.98823,Hamburg Helmut Schmidt Airport
EDDK,50.865898,7.14274,Cologne Bonn Airport
EDDL,51.289501,6.76678,Düsseldorf Airport
EDDM,48.353802,11.7861,Munich Airport
EDDN,49.498699,11.078056,Nuremberg Airport
EDDP,51.420657,12.232705,Leipzig/Halle Airport
EDDR,49.217562,7.111667,Saarbrücken Airport
EDDS,48.689899,9.22196,Stuttgart Airport
EDDV,52.461102,9.68508,Hannover Airport
EDDW,53.046786,8.78932,Bremen Airport
EDFH,49.946353,7.261734,Frankfurt-Hahn Airport
EDHI,53.5352783203125,9.835556030273438,Hamburg-Finkenwerder Airport
EDJA,47.988092,10.238248,Memmingen Allgau Airport
EDLP,51.612527,8.617459,Paderborn Lippstadt Airport
EDLV,51.601362,6.141228,Weeze (Niederrhein) Airport
EDLW,51.518299,7.61224,Dortmund Airport
EDNY,47.671299,9.51149,Bodensee Airport Friedrichshafen
EDSB,48.7794,8.0805,Karlsruhe Baden-Baden Airport
EEKE,58.22990036010742,22.50950050354004,Kuressaare Airport
EETN,59.413246,24.83264,Lennart Meri Tallinn Airport
EFHK,60.318363,24.963341,Helsinki Vantaa Airport
EFIV,68.6073,27.4053,Ivalo Airport
EFJO,62.658815,29.619398,Joensuu Airport
EFKI,64.2855,27.6924,Kajaani Airport
EFKS,65.987602,29.239401,Kuusamo Airport
EFKT,67.700996,24.8468,Kittilä International Airport
EFKU,63.007099,27.7978,Kuopio Airport
EFMA,60.1222,19.898199,Mariehamn Airport
EFOU,64.930099,25.354601,Oulu Airport
EFRO,66.563327,25.829751,Rovaniemi Airport
EFTP,61.414101,23.604401,Tampere-Pirkkala Airport
EFTU,60.514099,22.2628,Turku Airport
EFVA,63.05023,21.762543,Vaasa Airport
EGAA,54.6575012207,-6.21582984924,Belfast International Airport
EGAC,54.618099,-5.8725,George Best Belfast City Airport
EGAE,55.042801,-7.16111,City of Derry Airport
EGBB,52.453899,-1.74803,Birmingham Airport
EGCC,53.349375,-2.279521,Manchester Airport
EGFF,51.396702,-3.34333,Cardiff International Airport
EGGD,51.382326,-2.716453,Bristol Airport
EGGP,53.334863,-2.849637,Liverpool John Lennon Airport
EGGW,51.874699,-0.368333,London Luton Airport
EGHE,49.913375,-6.291894,St. Mary's Airport
EGHH,50.780483,-1.839576,Bournemouth Airport
EGHI,50.950298,-1.3568,Southampton Airport
EGHQ,50.440601,-4.99541,Cornwall Airport Newquay
EGJA,49.706104,-2.21472,Alderney Airport
EGJB,49.435001,-2.60197,Guernsey Airport
EGJJ,49.207901,-2.19551,Jersey Airport
EGKK,51.148744,-0.185739,London Gatwick Airport
EGLC,51.505299,0.055278,London City Airport
EGLL,51.470748,-0.459909,London Heathrow Airport
EGMC,51.570562,0.693627,London Southend Airport
EGNJ,53.576152,-0.34954,Humberside Airport
EGNM,53.865898,-1.66057,Leeds Bradford Airport
EGNS,54.083081,-4.623871,Isle of Man Airport
EGNT,55.037958,-1.689577,Newcastle International Airport
EGNV,54.509201,-1.42941,Teesside International Airport
EGNX,52.8311,-1.32806,East Midlands Airport
EGPA,58.957903,-2.905077,Kirkwall Airport
EGPB,59.878899,-1.29556,Sumburgh Airport
EGPD,57.2019,-2.19778,Aberdeen International Airport
EGPE,57.5425,-4.0475,Inverness Airport
EGPF,55.871899,-4.43306,Glasgow Airport
EGPH,55.950145,-3.372288,Edinburgh Airport
EGPK,55.501499,-4.577182,Glasgow Prestwick Airport
EGPO,58.215599,-6.33111,Stornoway Airport
EGSH,52.6758,1.28278,Norwich Airport
EGSS,51.884998,0.235,London Stansted Airport
EGTE,50.734261,-3.413984,Exeter International Airport
EHAM,52.308601,4.76389,Amsterdam Airport Schiphol
EHBK,50.911087,5.769401,Maastricht Aachen Airport
EHEH,51.4500999451,5.37452983856,Eindhoven Airport
EHGG,53.119107,6.577652,Groningen Airport Eelde
EHRD,51.956902,4.43722,Rotterdam The Hague Airport
EICK,51.841301,-8.49111,Cork International Airport
EIDW,53.428713,-6.262121,Dublin Airport
EIKN,53.910439,-8.817002,Ireland West Airport Knock
EIKY,52.180901,-9.52378,Kerry Airport
EINN,52.702,-8.92482,Shannon Airport
EKAH,56.303331,10.618286,Aarhus Airport
EKBI,55.740335,9.157019,Billund Airport
EKCH,55.617900848389,12.656000137329,Copenhagen Kastrup Airport
EKKA,56.297139,9.104311,Midtjyllands Airport / Air Base Karup
EKRN,55.063301,14.7596,Bornholm Airport
EKVG,62.063256,-7.275782,Vágar Airport
EKYT,57.094763,9.84993,Aalborg Airport
ELLX,49.626845,6.212134,Luxembourg-Findel International Airport
ENAL,62.560443,6.110845,Ålesund Airport
ENAN,69.295193,16.139379,"Andøya Airport, Andenes"
ENAT,69.976097,23.3717,Alta Airport
ENBN,65.461098,12.2175,"Brønnøysund Airport, Brønnøy"
ENBO,67.269203,14.3653,Bodø Airport
ENBR,60.2934,5.21814,"Bergen Airport, Flesland"
ENCN,58.204201,8.08537,Kristiansand Airport
ENDU,69.055801,18.5404,Bardufoss Airport
ENEV,68.491302,16.678101,Harstad/Narvik Airport
ENFL,61.583599090576,5.0247201919556,Florø Airport
ENGM,60.193901,11.1004,Oslo-Gardermoen International Airport
ENHD,59.345299,5.20836,"Haugesund Airport, Karmøy"
ENHF,70.679703,23.6686,Hammerfest Airport
ENHK,70.486702,22.1397,Hasvik Airport
ENKB,63.111801,7.82452,"Kristiansund Airport, Kvernberget"
ENKR,69.7258,29.8913,"Kirkenes Airport, Høybuktmoen"
ENLK,68.152496337891,13.609399795532,Leknes Airport
ENML,62.744701,7.2625,"Molde Airport, Årø"
ENMS,65.783997,13.2149,"Mosjøen Airport, Kjærstad"
ENNA,70.068802,24.973499,"Lakselv Airport, Banak"
ENNM,64.472198,11.5786,Namsos Airport
ENOV,62.180000305176,6.0741000175476,"Ørsta-Volda Airport, Hovden"
ENRA,66.363899230957,14.301400184631,"Mo i Rana Airport, Røssvoll"
ENRM,64.838302612305,11.14610004425,"Rørvik Airport, Ryum"
ENSB,78.246101,15.4656,Svalbard Airport
ENSH,68.243301,14.6692,"Svolvær Airport, Helle"
ENSK,68.578827,15.033417,"Stokmarknes Airport, Skagen"
ENSR,69.786797,20.9594,Sørkjosen Airport
ENST,65.956802,12.4689,"Sandnessjøen Airport, Stokka"
ENTC,69.683296,18.9189,Tromsø Airport
ENTO,59.186699,10.2586,"Sandefjord Airport, Torp"
ENVA,63.457802,10.924,"Trondheim Airport, Værnes"
ENVD,70.0653,29.8447,Vadsø Airport
ENZV,58.876701,5.63778,"Stavanger Airport, Sola"
EPBY,53.096802,17.977699,Ignacy Jan Paderewski Bydgoszcz Airport
EPGD,54.377602,18.4662,Gdańsk Lech Wałęsa Airport
EPKK,50.077702,19.7848,Kraków John Paul II International Airport
EPKT,50.476015,19.080705,Katowice Wojciech Korfanty International Airport
EPLB,51.240157,22.713461,Lublin Airport
EPLL,51.721901,19.3981,Łódź Władysław Reymont Airport
EPMO,52.451099,20.6518,Warsaw Modlin Airport
EPPO,52.421598,16.823359,Poznań-Ławica Airport
EPRZ,50.109791,22.024155,Rzeszów-Jasionka Airport
EPSC,53.584702,14.9022,Solidarity Szczecin–Goleniów Airport
EPSY,53.481899,20.9377,Olsztyn-Mazury Airport
EPWA,52.165699,20.9671,Warsaw Chopin Airport
EPWR,51.103719,16.882096,Copernicus Wrocław Airport
ESDF,56.266701,15.265,Ronneby Airport
ESGG,57.6628,12.2798,Göteborg Landvetter Airport
ESGT,58.31809997558594,12.345000267028809,Trollhättan-Vänersborg Airport
ESKN,58.789656,16.911479,Stockholm Skavsta Airport
ESMK,55.9217,14.0855,Kristianstad Airport
ESMQ,56.685501,16.2876,Kalmar Airport
ESMS,55.535564,13.376327,Malmö Sturup Airport
ESMT,56.69110107421875,12.820199966430664,Halmstad Airport
ESMX,56.92910003662109,14.727999687194824,Växjö Kronoberg Airport
ESNN,62.528099060058594,17.443899154663086,Sundsvall-Härnösand Airport
ESNO,63.40829849243164,18.989999771118164,Örnsköldsvik Airport
ESNQ,67.821999,20.3368,Kiruna Airport
ESNS,64.62480163574219,21.07690048217773,Skellefteå Airport
ESNU,63.791801,20.282801,Umeå Airport
ESNZ,63.193546,14.504168,Åre Östersund Airport
ESPA,65.5438,22.122,Luleå Airport
ESSA,59.64849,17.928829,Stockholm-Arlanda Airport
ESSB,59.354401,17.9417,Stockholm-Bromma Airport
ESSL,58.404909,15.684499,Linköping City Airport
ESSV,57.6628,18.346201,Visby Airport
ESTA,56.29610061645508,12.847100257873535,Ängelholm-Helsingborg Airport
EVRA,56.920752,23.970711,Riga International Airport
EYKA,54.963965,24.08582,Kaunas International Airport
EYPA,55.973202,21.093901,Palanga International Airport
EYVI,54.634102,25.285801,Vilnius International Airport
LATI,41.4147,19.7206,Tirana International Airport Mother Teresa
LBBG,42.569917,27.515173,Burgas Airport
LBSF,42.696357,23.417671,Sofia Airport
LBWN,43.232101,27.8251,Varna Airport
LCEN,35.153064,33.507352,Ercan International Airport
LCLK,34.875099,33.624901,Larnaca International Airport
LCPH,34.717999,32.485699,Paphos International Airport
LDDU,42.562247,18.265543,Dubrovnik Ruđer Bošković Airport
LDPL,44.893501,13.9222,Pula Airport
LDSP,43.538898,16.298,Split Saint Jerome Airport
LDZA,45.742901,16.0688,Zagreb Franjo Tuđman International Airport
LDZD,44.096986,15.353565,Zadar Airport
LEAL,38.2822,-0.558156,Alicante-Elche Miguel Hernández Airport
LEAM,36.843899,-2.3701,Almería Airport
LEAS,43.563599,-6.03462,Asturias Airport
LEBB,43.301102,-2.91061,Bilbao Airport
LEBL,41.2971,2.07846,Josep Tarradellas Barcelona-El Prat Airport
LECO,43.302101,-8.37726,A Coruña Airport
LEGE,41.904639,2.761774,Girona-Costa Brava Airport
LEGR,37.188702,-3.77736,F.G.L. Airport Granada-Jaén Airport
LEIB,38.872898,1.37312,Ibiza Airport
LEJR,36.744598,-6.06011,Jerez Airport
LEMD,40.493407,-3.572249,Adolfo Suárez Madrid–Barajas Airport
LEMG,36.6749,-4.49911,Málaga-Costa del Sol Airport
LEMH,39.862598,4.21865,Menorca Airport
LEMI,37.802852,-1.124884,Region of Murcia International Airport
LEPA,39.551701,2.73881,Palma de Mallorca Airport
LEPP,42.77,-1.64633,Pamplona Airport
LERS,41.147509,1.168354,Reus Airport
LESO,43.356499,-1.79061,San Sebastián Airport
LEST,42.896301,-8.41514,Santiago-Rosalía de Castro Airport
LEVC,39.489162,-0.480961,Valencia Airport
LEVD,41.7061,-4.85194,Valladolid Airport
LEVT,42.882801,-2.72447,Vitoria Airport
LEVX,42.2318,-8.62677,Vigo Airport
LEXJ,43.427101,-3.82001,Seve Ballesteros-Santander Airport
LEZG,41.666199,-1.04155,Zaragoza Airport
LEZL,37.417999,-5.89311,Seville Airport
LFBD,44.82865,-0.715356,Bordeaux–Mérignac Airport
LFBE,44.825298,0.518611,Bergerac Dordogne-Périgord airport
LFBH,46.179199,-1.19528,La Rochelle Île de Ré Airport
LFBI,46.5877,0.306666,Poitiers-Biard Airport
LFBL,45.862801,1.17944,Limoges Airport
LFBO,43.629101,1.36382,Toulouse-Blagnac Airport
LFBP,43.380001,-0.418611,Pau Pyrénées Airport
LFBT,43.178699,-0.006439,Tarbes-Lourdes-Pyrénées Airport
LFBZ,43.468372,-1.523223,Biarritz Pays Basque airport
LFJL,48.982101,6.25132,Metz-Nancy-Lorraine Airport
LFKB,42.5527,9.48373,Bastia-Poretta International airport
LFKC,42.530422,8.792984,Calvi Sainte Catherine Airport
LFKF,41.50185,9.097092,Figari Sud-Corse Airport
LFKJ,41.923599,8.80292,Ajaccio Napoléon Bonaparte airport
LFLB,45.6381,5.88023,Chambéry Aix les Bains airport
LFLC,45.786701,3.16917,Clermont-Ferrand Auvergne airport
LFLL,45.725996,5.090139,Lyon Saint-Exupéry Airport
LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport
LFMK,43.216,2.30632,Carcassonne Salvaza Airport
LFML,43.438088,5.2125,Marseille Provence Airport
LFMN,43.658401,7.21587,Nice-Côte d'Azur Airport
LFMP,42.740398,2.87067,Perpignan-Rivesaltes (Llabanère) Airport
LFMT,43.576199,3.96301,Montpellier-Méditerranée Airport
LFMU,43.323502,3.3539,Béziers Vias airport
LFOB,49.454399,2.11278,Beauvais-Tillé airport
LFOT,47.432201,0.727606,Tours Val de Loire Airport
LFPG,49.00896,2.554117,Charles de Gaulle International Airport
LFPO,48.72333,2.37944,Paris-Orly Airport
LFQQ,50.566564,3.102429,Lille Airport
LFRB,48.447899,-4.41854,Brest Bretagne airport
LFRD,48.5877,-2.07996,Dinard Pleurtuit Saint-Malo airport
LFRG,49.365237,0.154481,Deauville Normandie airport
LFRK,49.17678,-0.454883,Caen Carpiquet airport
LFRN,48.0695,-1.73479,Rennes-Saint-Jacques Airport
LFRS,47.153198,-1.61073,Nantes Atlantique Airport
LFSB,47.60068,7.521117,EuroAirport Basel–Mulhouse–Freiburg
LFST,48.5383,7.62823,Strasbourg Airport
LFTH,43.097301,6.14603,Toulon-Hyères Airport
LFTW,43.757401,4.41635,Nîmes-Arles-Camargue Airport
LGAL,40.8559,25.956301,Alexandroupoli Democritus Airport
LGAV,37.936401,23.9445,Athens Eleftherios Venizelos International Airport
LGHI,38.34320068359375,26.140600204467773,Chios Island National Airport
LGIO,39.6964,20.8225,Ioannina King Pyrrhus National Airport
LGIR,35.339699,25.1803,Heraklion International Nikos Kazantzakis Airport
LGKF,38.12009811401367,20.5004997253418,Kefallinia Airport
LGKL,37.06829833984375,22.02549934387207,Kalamata Airport
LGKO,36.794523,27.09115,"Kos International Airport ""Ippokratis"""
LGKP,35.421398,27.146,Karpathos Airport
LGKR,39.60145,19.912179,Corfu Ioannis Kapodistrias International Airport
LGKV,40.9133,24.6192,Kavala Alexander the Great International Airport
LGMK,37.435101,25.348101,Mykonos Island National Airport
LGML,36.696899,24.4769,Milos Airport
LGMT,39.057406,26.598629,Mytilene International Airport
LGNX,37.0811,25.368099,Naxos Island National Airport
LGPA,37.020495,25.113195,Paros National Airport
LGPZ,38.925499,20.765301,Aktion National Airport
LGRP,36.405399,28.086201,"Rhodes International Airport ""Diagoras"""
LGRX,38.1511,21.4256,Patras Araxos Agamemnon Airport
LGSA,35.531207,24.150673,Chania International Airport
LGSK,39.177101,23.5037,Skiathos Island National Airport
LGSM,37.689999,26.911699,Samos Airport
LGSR,36.400045,25.478638,Santorini International Airport
LGTS,40.51928,22.970009,Thessaloniki Macedonia International Airport
LGZA,37.7509,20.8843,Zakynthos International Airport Dionysios Solomos
LHBP,47.43018,19.262393,Budapest Liszt Ferenc International Airport
LHDC,47.489469,21.616278,Debrecen International Airport
LIBC,38.9972,17.0802,Crotone Sant'Anna Pythagoras Airport
LIBD,41.138901,16.760599,Bari Karol Wojtyła International Airport
LIBP,42.431079,14.182981,Abruzzo Airport
LIBR,40.6576,17.947001,Brindisi Airport
LICA,38.906214,16.246007,Lamezia Terme Sant'Eufemia International Airport
LICB,36.99583,14.60889,Comiso Airport
LICC,37.466801,15.0664,Catania-Fontanarossa Airport
LICD,35.497898,12.6181,Lampedusa Airport
LICG,36.816502,11.9689,Pantelleria Airport
LICJ,38.175999,13.091,Falcone–Borsellino Airport
LICR,38.071201,15.6516,Reggio Calabria Airport
LICT,37.9114,12.488,Vincenzo Florio Airport Trapani-Birgi
LIEA,40.632099,8.29077,Alghero-Fertilia Airport
LIEE,39.251499,9.05428,Cagliari Elmas Airport
LIEO,40.898953,9.518457,Olbia Costa Smeralda Airport
LIMC,45.6306,8.72811,Milan Malpensa International Airport
LIME,45.669362,9.708851,Il Caravaggio International Airport
LIMF,45.200802,7.64963,Turin Airport
LIMJ,44.412039,8.840732,Genoa Cristoforo Colombo Airport
LIML,45.445099,9.27674,Milano Linate Airport
LIMP,44.826351,10.29705,Parma Airport
LIMZ,44.547458,7.623045,Cuneo International Airport
LIPE,44.5354,11.2887,Bologna Guglielmo Marconi Airport
LIPH,45.648399,12.1944,Treviso Airport
LIPQ,45.827499,13.4722,Trieste Airport
LIPR,44.020024,12.612198,Federico Fellini International Airport
LIPX,45.394955,10.887303,Verona Villafranca Valerio Catullo Airport
LIPY,43.616299,13.3623,Marche Airport
LIPZ,45.505299,12.3519,Venice Marco Polo Airport
LIRA,41.798769,12.595331,Ciampino–G. B. Pastine International Airport
LIRF,41.804532,12.251998,Rome–Fiumicino Leonardo da Vinci International Airport
LIRN,40.886002,14.2908,Naples International Airport
LIRP,43.683899,10.3927,Pisa International Airport
LIRQ,43.808558,11.202822,"Florence Airport, Peretola"
LIRZ,43.095901,12.5132,Perugia San Francesco d'Assisi – Umbria International Airport
LJLJ,46.223701,14.4576,Ljubljana Jože Pučnik Airport
LKMT,49.696301,18.111099,Leoš Janáček Airport Ostrava
LKPR,50.100874,14.259911,Václav Havel Airport Prague
LKTB,49.151276,16.693972,Brno-Tuřany Airport
LMML,35.845932,14.491546,Malta International Airport
LOWG,46.9911,15.4396,Graz Airport
LOWI,47.260201,11.344,Innsbruck Airport
LOWK,46.642502,14.3377,Klagenfurt Airport
LOWL,48.235362,14.188128,Linz-Hörsching Airport
LOWS,47.793301,13.0043,Salzburg Airport
LOWW,48.110298,16.5697,Vienna International Airport
LPFL,39.455299377441406,-31.13139915466309,Flores Airport
LPFR,37.015909,-7.970939,Faro - Gago Coutinho International Airport
LPGR,39.09220123291016,-28.029800415039062,Graciosa Airport
LPHR,38.519901275634766,-28.715900421142575,Horta Airport
LPLA,38.761799,-27.090799,Lajes Airport
LPMA,32.697812,-16.774613,Cristiano Ronaldo International Airport
LPPD,37.7411994934,-25.6979007721,João Paulo II Airport
LPPI,38.554298,-28.441299,Pico Airport
LPPR,41.2481002808,-8.68138980865,Francisco de Sá Carneiro Airport
LPPS,33.0733985901,-16.3500003815,Porto Santo Airport
LPPT,38.7813,-9.13592,Lisbon Humberto Delgado Airport
LPSJ,38.665501,-28.1758,São Jorge Airport
LQBK,44.941399,17.297501,Banja Luka International Airport
LQSA,43.8246,18.331499,Sarajevo International Airport
LQTZ,44.459858,18.723627,Tuzla International Airport
LRBC,46.5219,26.910299,Bacău George Enescu International  Airport
LRCL,46.786042,23.685733,Avram Iancu Cluj International Airport
LRCV,44.3181,23.888599,Craiova International Airport
LRIA,47.179633,27.621431,Iaşi International Airport
LROP,44.571792,26.103285,Bucharest Henri Coandă International Airport
LRSB,45.785841,24.086666,Sibiu International Airport
LRSV,47.6875,26.354099,Suceava Ștefan cel Mare International Airport
LRTM,46.467701,24.4125,Târgu Mureş Transilvania International Airport
LRTR,45.809898,21.3379,Timișoara Traian Vuia International Airport
LSGG,46.238098,6.10895,Geneva Cointrin International Airport
LSZH,47.458056,8.548056,Zürich Airport
LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport
LTAC,40.128101,32.995098,Esenboğa International Airport
LTAF,36.982201,35.280399,Adana Şakirpaşa Airport
LTAI,36.898701,30.800501,Antalya International Airport
LTAJ,36.947201,37.478699,Gaziantep Oğuzeli International Airport
LTAN,37.979,32.561901,Konya Airport
LTAP,40.829399,35.521999,Amasya Merzifon Airport
LTAR,39.813801,36.9035,Sivas Nuri Demirağ Airport
LTAT,38.4352989197,38.0909996033,Malatya Erhaç Airport
LTAU,38.770401,35.495399,Kayseri Erkilet International Airport
LTAW,40.32472,36.39056,Tokat Airport
LTAY,37.7855987549,29.7012996674,Çardak Airport
LTAZ,38.7719,34.5345,Nevşehir Kapadokya Airport
LTBA,40.971913,28.823714,İstanbul Atatürk Airport
LTBH,40.1376991272,26.4267997742,Çanakkale Airport
LTBJ,38.2924,27.157,Adnan Menderes International Airport
LTBR,40.255199,29.562599,Bursa Yenişehir Airport
LTBS,36.7131,28.7925,Dalaman International Airport
LTBY,39.811644,30.519268,Hasan Polatkan Airport
LTCA,38.597974,39.28348,Elazığ Airport
LTCB,40.966872,38.085995,Ordu–Giresun Airport
LTCC,37.893902,40.201,Diyarbakır Airport
LTCD,39.7102012634,39.5270004272,Erzincan Airport
LTCE,39.956501,41.1702,Erzurum International Airport
LTCF,40.562198638916016,43.1150016784668,Kars Airport
LTCG,40.995098,39.7897,Trabzon International Airport
LTCI,38.46820068359375,43.332298278808594,Van Ferit Melen Airport
LTCJ,37.929001,41.1166,Batman Airport
LTCK,38.74779891967773,41.66120147705078,Muş Airport
LTCM,42.018313,35.071774,Sinop Airport
LTCN,37.5388259888,36.9535217285,Kahramanmaraş Airport
LTCO,39.655642,43.025742,Ağrı Airport
LTCP,37.7314,38.468899,Adıyaman Airport
LTCR,37.2233009338,40.6316986084,Mardin Airport
LTCS,37.445663,38.895592,Şanlıurfa GAP Airport
LTCT,39.976627,43.876648,Iğdır Airport
LTCU,38.860131,40.594489,Bingöl Airport
LTCV,37.3647,42.0582,Şırnak Şerafettin Elçi Airport
LTCW,37.5497,44.2381,Hakkari Yüksekova Airport
LTDA,36.362778,36.282223,Hatay Airport
LTDB,36.891478,35.071235,Çukurova International Airport
LTFD,39.552533,27.010192,Balıkesir Koca Seyit Airport
LTFE,37.249314,27.66401,Milas Bodrum International Airport
LTFG,36.299217,32.300598,Gazipaşa-Alanya Airport
LTFH,41.253988,36.567546,Samsun-Çarşamba Airport
LTFJ,40.898602,29.3092,Istanbul Sabiha Gökçen International Airport
LTFK,40.204498,25.883302,Gökçeada Airport
LTFM,41.274874,28.732136,İstanbul Airport
LTFO,41.179766,40.848802,Rize–Artvin Airport
LUKK,46.92774,28.931704,Chişinău International Airport
LWOH,41.18,20.7423,Ohrid St. Paul the Apostle Airport
LWSK,41.958087,21.622581,Skopje International Airport
LXGB,36.151679,-5.34978,Gibraltar Airport
LYBE,44.818401,20.309099,Belgrade Nikola Tesla Airport
LYNI,43.336538,21.856242,Niš Constantine the Great Airport
LYPG,42.359402,19.2519,Podgorica Airport / Podgorica Golubovci Airbase
LYTV,42.404701,18.723301,Tivat Airport
LZIB,48.1702,17.2127,M. R. Štefánik Airport
LZKZ,48.663101,21.2411,Košice International Airport
EDDT,52.34,13.17,Berlin-Tegel Airport
EG40,51.984986,-1.065159,Finmere Airport
EGCN,53.28,1.0,Doncaster-Sheffield Airport
EGPM,60.25,1.17,Scatsta Airport
LKAA,50.6,14.16,Prague FIR
LPPO,38.45,27.05,Santa Maria Oceanic Area Control Centre FIR
LTBB,41.15,28.43,Istanbul FIR
